id;extracted_data_id;zeile_inhalt;zeile_inhalt_orig;regex_pattern;quell_tabelle;quell_feld;Hit_Platz;Hit_StartNr;Hit_Zeit;zeile_inhalt_Typ;gefunden_am
24;73;Frankfurter RG Germania;2 Frankfurter RG Germania - Boot 1 - 01:43.60 4;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;4;01:43.60;Boot;2025-11-29 19:23:02.120493
25;75;RC Möve Grossauheim;3 RC Möve Grossauheim 01:43.94 1;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;1;01:43.94;Boot;2025-11-29 19:23:02.120551
26;77;Frankfurter RG Oberrad;4 Frankfurter RG Oberrad - Boot 1 - 01:46.43 2;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;4;2;01:46.43;Boot;2025-11-29 19:23:02.120566
27;81;Frankfurter RG Germania;1 Frankfurter RG Germania - Boot 2 - 01:45.58 8;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;8;01:45.58;Boot;2025-11-29 19:23:02.120579
28;83;Frankfurter RG Germania;2 Frankfurter RG Germania - Boot 3 - 01:52.53 10;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;10;01:52.53;Boot;2025-11-29 19:23:02.120590
29;85;Frankfurter RG Oberrad;3 Frankfurter RG Oberrad - Boot 2 - 02:01.15 9;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;9;02:01.15;Boot;2025-11-29 19:23:02.120601
30;87;SG Wiking;4 SG Wiking - Boot 2 - 02:14.41 6;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;4;6;02:14.41;Boot;2025-11-29 19:23:02.120611
31;91;Hanauer RG;1 Hanauer RG 01:52.22 11;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;11;01:52.22;Boot;2025-11-29 19:23:02.120621
32;93;Frankfurter RC;2 Frankfurter RC 02:02.07 13;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;13;02:02.07;Boot;2025-11-29 19:23:02.120631
33;95;Mühlheimer RV;3 Mühlheimer RV 02:09.46 12;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;12;02:09.46;Boot;2025-11-29 19:23:02.120642
34;108;WSV Offenbach am Main-Bürgel;1 WSV Offenbach am Main-Bürgel - Boot 1 - 01:57.94 2;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;2;01:57.94;Boot;2025-11-29 19:23:02.120656
35;110;Hanauer RC Hassia;2 Hanauer RC Hassia - Boot 1 - 01:59.16 3;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;3;01:59.16;Boot;2025-11-29 19:23:02.120667
36;112;RC Möve Grossauheim;3 RC Möve Grossauheim 02:00.66 1;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;1;02:00.66;Boot;2025-11-29 19:23:02.120678
37;116;Limburger ClfW;1 Limburger ClfW - Boot 1 - 01:56.16 5;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;5;01:56.16;Boot;2025-11-29 19:23:02.120689
38;118;WSV Offenbach am Main-Bürgel;2 WSV Offenbach am Main-Bürgel - Boot 2 - 02:00.90 8;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;8;02:00.90;Boot;2025-11-29 19:23:02.120700
39;120;SG Wiking;3 SG Wiking - Boot 1 - 02:02.73 4;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;4;02:02.73;Boot;2025-11-29 19:23:02.120711
40;124;Nassovia Höchst;1 Nassovia Höchst 01:57.97 12;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;12;01:57.97;Boot;2025-11-29 19:23:02.120721
