ID;zeile_inhalt;zeile_inhalt_orig;extracted_data_id;zeile_inhalt_ohne_treffer;Verein_DRVID;Verein;gefunden_am
162;3 01:50.19 19;3 RC Möve Grossauheim 01:50.19 19;551;3 01:50.19 19;11625;RC Möve Grossauheim;2025-11-29 07:36:29
163;4 - Boot 2 - 01:52.35 18;4 RG Wetzlar - Boot 2 - 01:52.35 18;553;4 - Boot 2 - 01:52.35 18;11647;RG Wetzlar;2025-11-29 07:36:29
164;1 01:32.08 1;1 Offenbacher RG Undine 01:32.08 1;568;1 01:32.08 1;11641;Offenbacher RG Undine;2025-11-29 07:36:29
165;2 - Boot 1 - 01:32.43 2;2 Frankfurter RG Germania - Boot 1 - 01:32.43 2;570;2 - Boot 1 - 01:32.43 2;11610;Frankfurter RG Germania;2025-11-29 07:36:29
166;3 - Boot 2 - 01:34.47 5;3 Frankfurter RG Germania - Boot 2 - 01:34.47 5;572;3 - Boot 2 - 01:34.47 5;11610;Frankfurter RG Germania;2025-11-29 07:36:29
167;4 Rgm. / Hanauer RG 01:40.83 4;4 Rgm. Hanauer RC Hassia/ Hanauer RG 01:40.83 4;574;4 Rgm. / Hanauer RG 01:40.83 4;11626;Hanauer RC Hassia;2025-11-29 07:36:29
168;1 01:39.70 6;1 Frankfurter RG Oberrad 01:39.70 6;578;1 01:39.70 6;11614;Frankfurter RG Oberrad;2025-11-29 07:36:29
169;2 - Boot 1 - 01:40.15 7;2 Hanauer RG - Boot 1 - 01:40.15 7;580;2 - Boot 1 - 01:40.15 7;11627;Hanauer RG;2025-11-29 07:36:29
170;1 - Boot 2 - 01:43.69 8;1 Hanauer RG - Boot 2 - 01:43.69 8;584;1 - Boot 2 - 01:43.69 8;11627;Hanauer RG;2025-11-29 07:36:29
171;2 01:52.58 9;2 Hanauer RC Hassia 01:52.58 9;586;2 01:52.58 9;11626;Hanauer RC Hassia;2025-11-29 07:36:29
172;1 01:42.20 1;1 Frankfurter RG Borussia 01:42.20 1;593;1 01:42.20 1;11607;Frankfurter RG Borussia;2025-11-29 07:36:29
173;2 01:44.52 2;2 Gießener RC Hassia 01:44.52 2;595;2 01:44.52 2;11622;Gießener RC Hassia;2025-11-29 07:36:29
174;1 01:44.54 4;1 RV Hellas Offenbach 01:44.54 4;599;1 01:44.54 4;11638;RV Hellas Offenbach;2025-11-29 07:36:29
175;2 01:49.41 3;2 Marburger RV 01:49.41 3;601;2 01:49.41 3;11636;Marburger RV;2025-11-29 07:36:29
176;1 01:41.76 7;1 RC Möve Grossauheim 01:41.76 7;605;1 01:41.76 7;11625;RC Möve Grossauheim;2025-11-29 07:36:29
177;2 01:42.59 5;2 Wormser RC 01:42.59 5;607;2 01:42.59 5;12038;Wormser RC;2025-11-29 07:36:29
178;3 01:47.74 6;3 WSV Hellas Gießen 01:47.74 6;609;3 01:47.74 6;11623;WSV Hellas Gießen;2025-11-29 07:36:29
179;1 01:49.98 2;1 RC Aschaffenburg 01:49.98 2;614;1 01:49.98 2;11101;RC Aschaffenburg;2025-11-29 07:36:29
180;2 01:55.73 1;2 WSV Hellas Gießen 01:55.73 1;616;2 01:55.73 1;11623;WSV Hellas Gießen;2025-11-29 07:36:29
181;1 01:55.64 4;1 Frankfurter RG Oberrad 01:55.64 4;620;1 01:55.64 4;11614;Frankfurter RG Oberrad;2025-11-29 07:36:29
182;2 02:05.14 5;2 Wormser RC 02:05.14 5;622;2 02:05.14 5;12038;Wormser RC;2025-11-29 07:36:29
183;1 Rgm. / Limburger ClfW 01:49.78 1;1 Rgm. RV Hellas Offenbach/ Limburger ClfW 01:49.78 1;634;1 Rgm. / Limburger ClfW 01:49.78 1;11638;RV Hellas Offenbach;2025-11-29 07:36:29
184;2 01:53.64 2;2 Frauen-RV Freiweg Frankfurt 01:53.64 2;636;2 01:53.64 2;11609;Frauen-RV Freiweg Frankfurt;2025-11-29 07:36:29
185;1 01:25.05 2;1 RG Eberbach 01:25.05 2;641;1 01:25.05 2;11004;RG Eberbach;2025-11-29 07:36:29
186;2 Rgm. Marburger RV/ / RG Wetzlar 01:26.52 1;2 Rgm. Marburger RV/ Gießener RC Hassia/ RG Wetzlar 01:26.52 1;643;2 Rgm. Marburger RV/ / RG Wetzlar 01:26.52 1;11622;Gießener RC Hassia;2025-11-29 07:36:29
187;3 02:13.24 3;3 Frankfurter RG Germania 02:13.24 3;646;3 02:13.24 3;11610;Frankfurter RG Germania;2025-11-29 07:36:29
188;1 Rgm. / RV Dorsten 01:26.30 6;1 Rgm. Hanauer RC Hassia/ RV Dorsten 01:26.30 6;650;1 Rgm. / RV Dorsten 01:26.30 6;11626;Hanauer RC Hassia;2025-11-29 07:36:29
189;2 Rgm. / Mühlheimer RV 01:34.91 4;2 Rgm. RC Möve Grossauheim/ Mühlheimer RV 01:34.91 4;653;2 Rgm. / Mühlheimer RV 01:34.91 4;11625;RC Möve Grossauheim;2025-11-29 07:36:29
190;3 am Main-Bürgel 01:35.30 5;3 WSV Offenbach am Main-Bürgel 01:35.30 5;656;3 am Main-Bürgel 01:35.30 5;11642;WSV Offenbach;2025-11-29 07:36:29
191;1 01:44.84 4;1 RG Wetzlar 01:44.84 4;661;1 01:44.84 4;11647;RG Wetzlar;2025-11-29 07:36:29
192;2 - Boot 2 - 01:48.04 5;2 RC Möve Grossauheim - Boot 2 - 01:48.04 5;663;2 - Boot 2 - 01:48.04 5;11625;RC Möve Grossauheim;2025-11-29 07:36:29
193;3 - Boot 1 - 01:57.40 3;3 SG Wiking - Boot 1 - 01:57.40 3;665;3 - Boot 1 - 01:57.40 3;11643;SG Wiking;2025-11-29 07:36:29
194;4 02:01.33 2;4 RC Karlstadt 02:01.33 2;667;4 02:01.33 2;11107;RC Karlstadt;2025-11-29 07:36:29
195;1 - Boot 2 - 01:54.08 6;1 SG Wiking - Boot 2 - 01:54.08 6;671;1 - Boot 2 - 01:54.08 6;11643;SG Wiking;2025-11-29 07:36:29
196;2 - Boot 3 - 01:58.70 12;2 RC Möve Grossauheim - Boot 3 - 01:58.70 12;673;2 - Boot 3 - 01:58.70 12;11625;RC Möve Grossauheim;2025-11-29 07:36:29
197;3 - Boot 3 - 02:09.07 8;3 SG Wiking - Boot 3 - 02:09.07 8;675;3 - Boot 3 - 02:09.07 8;11643;SG Wiking;2025-11-29 07:36:29
198;1 am Main-Bürgel 01:54.28 9;1 WSV Offenbach am Main-Bürgel 01:54.28 9;679;1 am Main-Bürgel 01:54.28 9;11642;WSV Offenbach;2025-11-29 07:36:29
199;2 - Boot 1 - 01:57.82 10;2 Hanauer RG - Boot 1 - 01:57.82 10;681;2 - Boot 1 - 01:57.82 10;11627;Hanauer RG;2025-11-29 07:36:29
200;3 - Boot 2 - 02:13.96 11;3 Hanauer RG - Boot 2 - 02:13.96 11;683;3 - Boot 2 - 02:13.96 11;11627;Hanauer RG;2025-11-29 07:36:29
201;4 02:18.84 13;4 Frankfurter Ruder- und Kanusport Verein 02:18.84 13;685;4 02:18.84 13;11620;Frankfurter Ruder- und Kanusport Verein;2025-11-29 07:36:29
202;1 01:50.56 1;1 Hanauer RC Hassia 01:50.56 1;697;1 01:50.56 1;11626;Hanauer RC Hassia;2025-11-29 07:36:29
203;2 01:52.04 3;2 SRR Schillerschule Frankfurt 01:52.04 3;699;2 01:52.04 3;15626;SRR Schillerschule Frankfurt;2025-11-29 07:36:29
204;3 - Boot 1 - 01:58.75 2;3 Frankfurter RC - Boot 1 - 01:58.75 2;701;3 - Boot 1 - 01:58.75 2;11616;Frankfurter RC;2025-11-29 07:36:29
205;4 01:59.84 4;4 Limburger ClfW 01:59.84 4;703;4 01:59.84 4;11635;Limburger ClfW;2025-11-29 07:36:29
206;1 - Boot 2 - 02:03.87 5;1 Frankfurter RC - Boot 2 - 02:03.87 5;707;1 - Boot 2 - 02:03.87 5;11616;Frankfurter RC;2025-11-29 07:36:29
207;2 02:08.78 8;2 RC Karlstadt 02:08.78 8;709;2 02:08.78 8;11107;RC Karlstadt;2025-11-29 07:36:29
208;3 02:12.02 7;3 RC Möve Grossauheim 02:12.02 7;711;3 02:12.02 7;11625;RC Möve Grossauheim;2025-11-29 07:36:29
209;1 Rgm. RC Möve Grossauheim/ 01:25.05 3;1 Rgm. RC Möve Grossauheim/ Frankfurter RG Borussia 01:25.05 3;718;1 Rgm. RC Möve Grossauheim/ 01:25.05 3;11607;Frankfurter RG Borussia;2025-11-29 07:36:29
210;2 01:26.25 2;2 Wormser RC 01:26.25 2;721;2 01:26.25 2;12038;Wormser RC;2025-11-29 07:36:29
211;3 01:26.48 1;3 Nassovia Höchst 01:26.48 1;723;3 01:26.48 1;11612;Nassovia Höchst;2025-11-29 07:36:29
212;1 01:24.48 5;1 Hanauer RC Hassia 01:24.48 5;727;1 01:24.48 5;11626;Hanauer RC Hassia;2025-11-29 07:36:29
213;2 01:26.07 4;2 Hanauer RG 01:26.07 4;729;2 01:26.07 4;11627;Hanauer RG;2025-11-29 07:36:29
214;3 01:26.83 6;3 Frankfurter RG Germania 01:26.83 6;731;3 01:26.83 6;11610;Frankfurter RG Germania;2025-11-29 07:36:29
215;1 - Boot 1 - 01:42.91 2;1 RC Aschaffenburg - Boot 1 - 01:42.91 2;743;1 - Boot 1 - 01:42.91 2;11101;RC Aschaffenburg;2025-11-29 07:36:29
216;2 - Boot 1 - 01:45.64 4;2 Mühlheimer RV - Boot 1 - 01:45.64 4;745;2 - Boot 1 - 01:45.64 4;11637;Mühlheimer RV;2025-11-29 07:36:29
217;3 01:47.64 3;3 SG Wiking 01:47.64 3;747;3 01:47.64 3;11643;SG Wiking;2025-11-29 07:36:29
218;4 - Boot 1 - 01:52.29 1;4 Hanauer RG - Boot 1 - 01:52.29 1;749;4 - Boot 1 - 01:52.29 1;11627;Hanauer RG;2025-11-29 07:36:29
219;1 01:45.21 6;1 RV Hellas Offenbach 01:45.21 6;753;1 01:45.21 6;11638;RV Hellas Offenbach;2025-11-29 07:36:29
220;2 01:48.25 8;2 RG Eberbach 01:48.25 8;755;2 01:48.25 8;11004;RG Eberbach;2025-11-29 07:36:29
221;1 am Main-Bürgel - Boot 1 - 01:50.90 9;1 WSV Offenbach am Main-Bürgel - Boot 1 - 01:50.90 9;759;1 am Main-Bürgel - Boot 1 - 01:50.90 9;11642;WSV Offenbach;2025-11-29 07:36:29
222;2 - Boot 2 - 02:02.68 11;2 Mühlheimer RV - Boot 2 - 02:02.68 11;761;2 - Boot 2 - 02:02.68 11;11637;Mühlheimer RV;2025-11-29 07:36:29
223;1 01:48.53 15;1 Wormser RC 01:48.53 15;767;1 01:48.53 15;12038;Wormser RC;2025-11-29 07:36:29
224;2 am Main-Bürgel - Boot 2 - 01:49.19 13;2 WSV Offenbach am Main-Bürgel - Boot 2 - 01:49.19 13;769;2 am Main-Bürgel - Boot 2 - 01:49.19 13;11642;WSV Offenbach;2025-11-29 07:36:29
225;3 - Boot 3 - 02:02.30 14;3 Hanauer RG - Boot 3 - 02:02.30 14;771;3 - Boot 3 - 02:02.30 14;11627;Hanauer RG;2025-11-29 07:36:29
226;1 - Boot 4 - 01:49.53 16;1 RC Aschaffenburg - Boot 4 - 01:49.53 16;775;1 - Boot 4 - 01:49.53 16;11101;RC Aschaffenburg;2025-11-29 07:36:29
227;2 - Boot 1 - 01:52.53 18;2 Frankfurter RC - Boot 1 - 01:52.53 18;777;2 - Boot 1 - 01:52.53 18;11616;Frankfurter RC;2025-11-29 07:36:29
228;3 - Boot 2 - 01:57.71 17;3 Offenbacher RG Undine - Boot 2 - 01:57.71 17;779;3 - Boot 2 - 01:57.71 17;11641;Offenbacher RG Undine;2025-11-29 07:36:29
229;1 - Boot 2 - 01:59.82 20;1 Frankfurter RC - Boot 2 - 01:59.82 20;783;1 - Boot 2 - 01:59.82 20;11616;Frankfurter RC;2025-11-29 07:36:29
230;2 02:18.18 19;2 Marburger RV 02:18.18 19;785;2 02:18.18 19;11636;Marburger RV;2025-11-29 07:36:29
231;1 - Boot 1 - 01:47.65 4;1 Limburger ClfW - Boot 1 - 01:47.65 4;798;1 - Boot 1 - 01:47.65 4;11635;Limburger ClfW;2025-11-29 07:36:29
232;2 am Main-Bürgel 01:53.19 3;2 WSV Offenbach am Main-Bürgel 01:53.19 3;800;2 am Main-Bürgel 01:53.19 3;11642;WSV Offenbach;2025-11-29 07:36:29
233;3 - Boot 1 - 01:59.10 1;3 RC Möve Grossauheim - Boot 1 - 01:59.10 1;802;3 - Boot 1 - 01:59.10 1;11625;RC Möve Grossauheim;2025-11-29 07:36:29
234;1 01:49.66 6;1 Frankfurter RG Germania 01:49.66 6;806;1 01:49.66 6;11610;Frankfurter RG Germania;2025-11-29 07:36:29
235;2 - Boot 2 - 01:50.52 5;2 RC Möve Grossauheim - Boot 2 - 01:50.52 5;808;2 - Boot 2 - 01:50.52 5;11625;RC Möve Grossauheim;2025-11-29 07:36:29
236;1 01:52.79 9;1 RC Aschaffenburg 01:52.79 9;812;1 01:52.79 9;11101;RC Aschaffenburg;2025-11-29 07:36:29
237;2 02:04.74 7;2 SG Wiking 02:04.74 7;814;2 02:04.74 7;11643;SG Wiking;2025-11-29 07:36:29
238;3 - Boot 3 - 02:04.96 10;3 RC Möve Grossauheim - Boot 3 - 02:04.96 10;816;3 - Boot 3 - 02:04.96 10;11625;RC Möve Grossauheim;2025-11-29 07:36:29
239;1 02:09.26 1;1 RC Karlstadt 02:09.26 1;824;1 02:09.26 1;11107;RC Karlstadt;2025-11-29 07:36:29
240;2 02:14.44 2;2 RC Karlstadt 02:14.44 2;826;2 02:14.44 2;11107;RC Karlstadt;2025-11-29 07:36:29
241;1 01:42.29 2;1 Marburger RV 01:42.29 2;831;1 01:42.29 2;11636;Marburger RV;2025-11-29 07:36:29
242;2 Rgm. / Limburger ClfW 01:48.29 1;2 Rgm. Ruder-Gesellschaft HANSA e.V./ Limburger ClfW 01:48.29 1;833;2 Rgm. / Limburger ClfW 01:48.29 1;11511;Ruder-Gesellschaft HANSA e.V.;2025-11-29 07:36:29
243;3 Rgm. / Gießener RC Hassia 01:48.65 7;3 Rgm. Frankfurter RG Borussia/ Gießener RC Hassia 01:48.65 7;835;3 Rgm. / Gießener RC Hassia 01:48.65 7;11607;Frankfurter RG Borussia;2025-11-29 07:36:29
244;4 02:01.05 3;4 RV Hellas Offenbach 02:01.05 3;837;4 02:01.05 3;11638;RV Hellas Offenbach;2025-11-29 07:36:29
245;1 01:42.51 5;1 Frankfurter RC 01:42.51 5;841;1 01:42.51 5;11616;Frankfurter RC;2025-11-29 07:36:29
246;2 01:43.17 4;2 Hanauer RC Hassia 01:43.17 4;843;2 01:43.17 4;11626;Hanauer RC Hassia;2025-11-29 07:36:29
247;3 03:51.66 6;3 Hanauer RG 03:51.66 6;845;3 03:51.66 6;11627;Hanauer RG;2025-11-29 07:36:29
248;1 - Boot 1 - 01:34.66 2;1 Hanauer RC Hassia - Boot 1 - 01:34.66 2;854;1 - Boot 1 - 01:34.66 2;11626;Hanauer RC Hassia;2025-11-29 07:36:29
249;2 - Boot 1 - 01:35.04 3;2 Nassovia Höchst - Boot 1 - 01:35.04 3;856;2 - Boot 1 - 01:35.04 3;11612;Nassovia Höchst;2025-11-29 07:36:29
250;3 - Boot 2 - 01:44.46 7;3 Hanauer RC Hassia - Boot 2 - 01:44.46 7;858;3 - Boot 2 - 01:44.46 7;11626;Hanauer RC Hassia;2025-11-29 07:36:29
251;1 - Boot 2 - 01:43.19 4;1 Frankfurter RG Oberrad - Boot 2 - 01:43.19 4;862;1 - Boot 2 - 01:43.19 4;11614;Frankfurter RG Oberrad;2025-11-29 07:36:29
252;2 - Boot 1 - 01:49.42 1;2 Frankfurter RG Oberrad - Boot 1 - 01:49.42 1;864;2 - Boot 1 - 01:49.42 1;11614;Frankfurter RG Oberrad;2025-11-29 07:36:29
253;1 - Boot 3 - 01:40.96 10;1 Frankfurter RG Oberrad - Boot 3 - 01:40.96 10;868;1 - Boot 3 - 01:40.96 10;11614;Frankfurter RG Oberrad;2025-11-29 07:36:29
254;2 - Boot 2 - 01:44.32 12;2 Nassovia Höchst - Boot 2 - 01:44.32 12;870;2 - Boot 2 - 01:44.32 12;11612;Nassovia Höchst;2025-11-29 07:36:29
255;3 01:54.61 11;3 Hanauer RG 01:54.61 11;872;3 01:54.61 11;11627;Hanauer RG;2025-11-29 07:36:29
256;1 01:38.26 2;1 RC Aschaffenburg 01:38.26 2;882;1 01:38.26 2;11101;RC Aschaffenburg;2025-11-29 07:36:29
257;2 01:40.65 4;2 SG Wiking 01:40.65 4;885;2 01:40.65 4;11643;SG Wiking;2025-11-29 07:36:29
258;3 01:40.88 5;3 Frankfurter RG Germania 01:40.88 5;888;3 01:40.88 5;11610;Frankfurter RG Germania;2025-11-29 07:36:29
259;4 01:45.95 1;4 Frankfurter RG Oberrad 01:45.95 1;891;4 01:45.95 1;11614;Frankfurter RG Oberrad;2025-11-29 07:36:29
260;1 01:26.57 3;1 Marburger RV 01:26.57 3;899;1 01:26.57 3;11636;Marburger RV;2025-11-29 07:36:29
261;2 Rgm. / Limburger ClfW 01:27.24 1;2 Rgm. Ruder-Gesellschaft HANSA e.V./ Limburger ClfW 01:27.24 1;901;2 Rgm. / Limburger ClfW 01:27.24 1;11511;Ruder-Gesellschaft HANSA e.V.;2025-11-29 07:36:29
262;3 Rgm. Hanauer RG/ 01:38.21 2;3 Rgm. Hanauer RG/ RC Möve Grossauheim 01:38.21 2;904;3 Rgm. Hanauer RG/ 01:38.21 2;11625;RC Möve Grossauheim;2025-11-29 07:36:29
263;1 Rgm. RC Möve Grossauheim/ 01:36.89 1;1 Rgm. RC Möve Grossauheim/ Frankfurter RG Borussia 01:36.89 1;914;1 Rgm. RC Möve Grossauheim/ 01:36.89 1;11607;Frankfurter RG Borussia;2025-11-29 07:36:29
264;2 Rgm. WSV Hellas Gießen/ 01:40.04 2;2 Rgm. WSV Hellas Gießen/ RV Kurhessen-Cassel 01:40.04 2;916;2 Rgm. WSV Hellas Gießen/ 01:40.04 2;11632;RV Kurhessen-Cassel;2025-11-29 07:36:29
265;1 01:35.83 2;1 RC Möve Grossauheim 01:35.83 2;921;1 01:35.83 2;11625;RC Möve Grossauheim;2025-11-29 07:36:29
266;2 Rgm. Hanauer RG/ 01:38.00 1;2 Rgm. Hanauer RG/ Mühlheimer RV 01:38.00 1;923;2 Rgm. Hanauer RG/ 01:38.00 1;11637;Mühlheimer RV;2025-11-29 07:36:29
267;3 01:54.59 3;3 Frauen-RV Freiweg Frankfurt 01:54.59 3;925;3 01:54.59 3;11609;Frauen-RV Freiweg Frankfurt;2025-11-29 07:36:29
268;1 Rgm. / Flörsheimer RV 01:40.12 4;1 Rgm. RV Hellas Offenbach/ Flörsheimer RV 01:40.12 4;929;1 Rgm. / Flörsheimer RV 01:40.12 4;11638;RV Hellas Offenbach;2025-11-29 07:36:29
269;2 01:44.23 5;2 Gießener RC Hassia 01:44.23 5;931;2 01:44.23 5;11622;Gießener RC Hassia;2025-11-29 07:36:29
270;1 01:59.30 1;1 SG Wiking 01:59.30 1;936;1 01:59.30 1;11643;SG Wiking;2025-11-29 07:36:29
271;2 - Boot 1 - 02:00.40 4;2 Limburger ClfW - Boot 1 - 02:00.40 4;938;2 - Boot 1 - 02:00.40 4;11635;Limburger ClfW;2025-11-29 07:36:29
272;3 02:03.20 3;3 RC Aschaffenburg 02:03.20 3;940;3 02:03.20 3;11101;RC Aschaffenburg;2025-11-29 07:36:29
273;1 02:05.51 6;1 RC Karlstadt 02:05.51 6;944;1 02:05.51 6;11107;RC Karlstadt;2025-11-29 07:36:29
274;2 - Boot 2 - 02:24.49 5;2 Limburger ClfW - Boot 2 - 02:24.49 5;946;2 - Boot 2 - 02:24.49 5;11635;Limburger ClfW;2025-11-29 07:36:29
275;1 02:05.08 8;1 Mühlheimer RV 02:05.08 8;950;1 02:05.08 8;11637;Mühlheimer RV;2025-11-29 07:36:29
276;2 - Boot 2 - 02:08.24 9;2 Hanauer RG - Boot 2 - 02:08.24 9;952;2 - Boot 2 - 02:08.24 9;11627;Hanauer RG;2025-11-29 07:36:29
277;3 - Boot 1 - 02:18.21 7;3 Hanauer RG - Boot 1 - 02:18.21 7;954;3 - Boot 1 - 02:18.21 7;11627;Hanauer RG;2025-11-29 07:36:29
278;1 01:44.40 4;1 RV Hellas Offenbach 01:44.40 4;965;1 01:44.40 4;11638;RV Hellas Offenbach;2025-11-29 07:36:29
279;2 - Boot 1 - 01:46.68 2;2 Mühlheimer RV - Boot 1 - 01:46.68 2;967;2 - Boot 1 - 01:46.68 2;11637;Mühlheimer RV;2025-11-29 07:36:29
280;3 am Main-Bürgel - Boot 1 - 01:46.96 1;3 WSV Offenbach am Main-Bürgel - Boot 1 - 01:46.96 1;969;3 am Main-Bürgel - Boot 1 - 01:46.96 1;11642;WSV Offenbach;2025-11-29 07:36:29
281;4 01:54.02 3;4 RC Möve Grossauheim 01:54.02 3;971;4 01:54.02 3;11625;RC Möve Grossauheim;2025-11-29 07:36:29
282;1 01:48.22 7;1 RC Aschaffenburg 01:48.22 7;975;1 01:48.22 7;11101;RC Aschaffenburg;2025-11-29 07:36:29
283;2 01:50.14 8;2 Frankfurter Ruder- und Kanusport Verein 01:50.14 8;977;2 01:50.14 8;11620;Frankfurter Ruder- und Kanusport Verein;2025-11-29 07:36:29
284;3 am Main-Bürgel - Boot 3 - 01:52.37 6;3 WSV Offenbach am Main-Bürgel - Boot 3 - 01:52.37 6;979;3 am Main-Bürgel - Boot 3 - 01:52.37 6;11642;WSV Offenbach;2025-11-29 07:36:29
285;4 - Boot 2 - 01:53.42 9;4 Mühlheimer RV - Boot 2 - 01:53.42 9;981;4 - Boot 2 - 01:53.42 9;11637;Mühlheimer RV;2025-11-29 07:36:29
286;1 am Main-Bürgel - Boot 4 - 01:53.98 10;1 WSV Offenbach am Main-Bürgel - Boot 4 - 01:53.98 10;985;1 am Main-Bürgel - Boot 4 - 01:53.98 10;11642;WSV Offenbach;2025-11-29 07:36:29
287;2 01:54.21 11;2 Frankfurter RC 01:54.21 11;987;2 01:54.21 11;11616;Frankfurter RC;2025-11-29 07:36:29
288;1 01:42.07 4;1 Frankfurter RC 01:42.07 4;994;1 01:42.07 4;11616;Frankfurter RC;2025-11-29 07:36:29
289;2 am Main-Bürgel 01:42.29 2;2 WSV Offenbach am Main-Bürgel 01:42.29 2;996;2 am Main-Bürgel 01:42.29 2;11642;WSV Offenbach;2025-11-29 07:36:29
290;3 02:00.25 6;3 Marburger RV 02:00.25 6;998;3 02:00.25 6;11636;Marburger RV;2025-11-29 07:36:29
291;1 Rgm. / Weilburger RV 01:40.98 1;1 Rgm. Frankfurter RG Germania/ Weilburger RV 01:40.98 1;1011;1 Rgm. / Weilburger RV 01:40.98 1;11610;Frankfurter RG Germania;2025-11-29 07:36:29
292;2 01:44.16 2;2 Frankfurter RG Oberrad 01:44.16 2;1013;2 01:44.16 2;11614;Frankfurter RG Oberrad;2025-11-29 07:36:29
293;3 01:46.05 3;3 Hanauer RC Hassia 01:46.05 3;1015;3 01:46.05 3;11626;Hanauer RC Hassia;2025-11-29 07:36:29
294;1 - Boot 2 - 01:42.27 10;1 Frankfurter RC - Boot 2 - 01:42.27 10;1019;1 - Boot 2 - 01:42.27 10;11616;Frankfurter RC;2025-11-29 07:36:29
295;2 01:44.03 6;2 Nassovia Höchst 01:44.03 6;1021;2 01:44.03 6;11612;Nassovia Höchst;2025-11-29 07:36:29
296;3 01:50.32 4;3 RG Eberbach 01:50.32 4;1023;3 01:50.32 4;11004;RG Eberbach;2025-11-29 07:36:29
297;1 01:47.90 9;1 Frankfurter RG Oberrad 01:47.90 9;1027;1 01:47.90 9;11614;Frankfurter RG Oberrad;2025-11-29 07:36:29
298;2 - Boot 1 - 01:48.96 8;2 Frankfurter RC - Boot 1 - 01:48.96 8;1029;2 - Boot 1 - 01:48.96 8;11616;Frankfurter RC;2025-11-29 07:36:29
299;3 01:54.47 7;3 RG Wetzlar 01:54.47 7;1031;3 01:54.47 7;11647;RG Wetzlar;2025-11-29 07:36:29
300;1 01:30.51 4;1 Hanauer RC Hassia 01:30.51 4;1037;1 01:30.51 4;11626;Hanauer RC Hassia;2025-11-29 07:36:29
301;2 01:33.91 3;2 Frankfurter RG Germania 01:33.91 3;1039;2 01:33.91 3;11610;Frankfurter RG Germania;2025-11-29 07:36:29
302;3 01:34.21 1;3 RG Eberbach 01:34.21 1;1041;3 01:34.21 1;11004;RG Eberbach;2025-11-29 07:36:29
303;4 01:39.90 2;4 Hanauer RG 01:39.90 2;1043;4 01:39.90 2;11627;Hanauer RG;2025-11-29 07:36:29
304;1 Rgm. WSV Offenbach am Main-Bürgel/ 01:35.33 8;1 Rgm. WSV Offenbach am Main-Bürgel/ Nassovia Höchst 01:35.33 8;1047;1 Rgm. WSV Offenbach am Main-Bürgel/ 01:35.33 8;11612;Nassovia Höchst;2025-11-29 07:36:29
305;2 Rgm. Marburger RV/ 01:35.61 6;2 Rgm. Marburger RV/ Gießener RC Hassia 01:35.61 6;1049;2 Rgm. Marburger RV/ 01:35.61 6;11622;Gießener RC Hassia;2025-11-29 07:36:29
306;3 01:36.73 5;3 Wormser RC 01:36.73 5;1051;3 01:36.73 5;12038;Wormser RC;2025-11-29 07:36:29
307;1 01:39.54 9;1 RC Möve Grossauheim 01:39.54 9;1055;1 01:39.54 9;11625;RC Möve Grossauheim;2025-11-29 07:36:29
308;2 01:42.15 10;2 Frankfurter RG Oberrad 01:42.15 10;1057;2 01:42.15 10;11614;Frankfurter RG Oberrad;2025-11-29 07:36:29
309;1 01:38.83 2;1 Limburger ClfW 01:38.83 2;1064;1 01:38.83 2;11635;Limburger ClfW;2025-11-29 07:36:29
310;2 01:42.43 1;2 Frauen-RV Freiweg Frankfurt 01:42.43 1;1066;2 01:42.43 1;11609;Frauen-RV Freiweg Frankfurt;2025-11-29 07:36:29
311;1 01:59.31 10;1 RC Möve Grossauheim 01:59.31 10;1075;1 01:59.31 10;11625;RC Möve Grossauheim;2025-11-29 07:36:29
312;2 - Boot 1 - 02:03.82 1;2 Frankfurter RG Oberrad - Boot 1 - 02:03.82 1;1077;2 - Boot 1 - 02:03.82 1;11614;Frankfurter RG Oberrad;2025-11-29 07:36:29
313;1 - Boot 2 - 01:58.97 5;1 Frankfurter RG Oberrad - Boot 2 - 01:58.97 5;1081;1 - Boot 2 - 01:58.97 5;11614;Frankfurter RG Oberrad;2025-11-29 07:36:29
314;2 - Boot 3 - 02:08.82 3;2 Frankfurter RG Oberrad - Boot 3 - 02:08.82 3;1083;2 - Boot 3 - 02:08.82 3;11614;Frankfurter RG Oberrad;2025-11-29 07:36:29
315;3 - Boot 1 - 02:10.38 4;3 RC Möve Grossauheim - Boot 1 - 02:10.38 4;1085;3 - Boot 1 - 02:10.38 4;11625;RC Möve Grossauheim;2025-11-29 07:36:29
316;1 - Boot 1 - 02:00.82 6;1 RC Aschaffenburg - Boot 1 - 02:00.82 6;1089;1 - Boot 1 - 02:00.82 6;11101;RC Aschaffenburg;2025-11-29 07:36:29
317;2 - Boot 4 - 02:01.27 8;2 Frankfurter RG Oberrad - Boot 4 - 02:01.27 8;1091;2 - Boot 4 - 02:01.27 8;11614;Frankfurter RG Oberrad;2025-11-29 07:36:29
318;1 01:44.75 1;1 SG Wiking 01:44.75 1;1099;1 01:44.75 1;11643;SG Wiking;2025-11-29 07:36:29
319;2 02:04.33 3;2 Frankfurter RG Germania 02:04.33 3;1102;2 02:04.33 3;11610;Frankfurter RG Germania;2025-11-29 07:36:29
