ID;zeile_inhalt_orig;extracted_data_id;zeile_inhalt_ohne_treffer;Verein_DRVID;Verein;gefunden_am
303;Hanauer RG;1043;;11627;Hanauer RG;2025-11-29 16:37:32
304;Rgm. WSV Offenbach am Main-Bürgel/ Nassovia Höchst;1047;Rgm. WSV Offenbach am Main-Bürgel/;11612;Nassovia Höchst;2025-11-29 16:37:32
305;Rgm. Marburger RV/ Gießener RC Hassia;1049;Rgm. Marburger RV/;11622;Gießener RC Hassia;2025-11-29 16:37:32
306;Wormser RC;1051;;12038;Wormser RC;2025-11-29 16:37:32
307;RC Möve Grossauheim;1055;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
308;Frankfurter RG Oberrad;1057;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
309;Limburger ClfW;1064;;11635;Limburger ClfW;2025-11-29 16:37:32
310;Frauen-RV Freiweg Frankfurt;1066;;11609;Frauen-RV Freiweg Frankfurt;2025-11-29 16:37:32
311;RC Möve Grossauheim;1075;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
312;Frankfurter RG Oberrad;1077;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
313;Frankfurter RG Oberrad;1081;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
314;Frankfurter RG Oberrad;1083;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
315;RC Möve Grossauheim;1085;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
316;RC Aschaffenburg;1089;;11101;RC Aschaffenburg;2025-11-29 16:37:32
317;Frankfurter RG Oberrad;1091;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
318;SG Wiking;1099;;11643;SG Wiking;2025-11-29 16:37:32
319;Frankfurter RG Germania;1102;;11610;Frankfurter RG Germania;2025-11-29 16:37:32
320;Rgm. Frankfurter RG Germania/ Weilburger RV;1111;Rgm. / Weilburger RV;11610;Frankfurter RG Germania;2025-11-29 16:37:32
321;Rgm. Hanauer RC Hassia/ RV Dorsten;1114;Rgm. / RV Dorsten;11626;Hanauer RC Hassia;2025-11-29 16:37:32
322;Frankfurter RG Oberrad;1117;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
323;RV Hellas Offenbach;1129;;11638;RV Hellas Offenbach;2025-11-29 16:37:32
324;SG Wiking;1131;;11643;SG Wiking;2025-11-29 16:37:32
325;Hanauer RG;1133;;11627;Hanauer RG;2025-11-29 16:37:32
326;RG Eberbach;1137;;11004;RG Eberbach;2025-11-29 16:37:32
327;Mühlheimer RV;1139;;11637;Mühlheimer RV;2025-11-29 16:37:32
328;SG Wiking;1141;;11643;SG Wiking;2025-11-29 16:37:32
329;Frankfurter RG Oberrad;1145;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
330;Hanauer RG;1147;;11627;Hanauer RG;2025-11-29 16:37:32
331;RG Wetzlar;1149;;11647;RG Wetzlar;2025-11-29 16:37:32
332;RC Karlstadt;1153;;11107;RC Karlstadt;2025-11-29 16:37:32
333;Wormser RC;1155;;12038;Wormser RC;2025-11-29 16:37:32
334;RG Eberbach;1157;;11004;RG Eberbach;2025-11-29 16:37:32
335;Frankfurter RG Oberrad;1161;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
336;Hanauer RG;1163;;11627;Hanauer RG;2025-11-29 16:37:32
337;Wormser RC;1173;;12038;Wormser RC;2025-11-29 16:37:32
338;RG Wetzlar;1175;;11647;RG Wetzlar;2025-11-29 16:37:32
339;Marburger RV;1177;;11636;Marburger RV;2025-11-29 16:37:32
340;Hanauer RG;1181;;11627;Hanauer RG;2025-11-29 16:37:32
341;WSV Hellas Gießen;1183;;11623;WSV Hellas Gießen;2025-11-29 16:37:32
342;Frankfurter RG Germania;1194;;11610;Frankfurter RG Germania;2025-11-29 16:37:32
343;SG Wiking;1196;;11643;SG Wiking;2025-11-29 16:37:32
344;RC Möve Grossauheim;1198;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
345;Frankfurter RG Oberrad;1202;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
346;SG Wiking;1204;;11643;SG Wiking;2025-11-29 16:37:32
347;Frankfurter RG Germania;1208;;11610;Frankfurter RG Germania;2025-11-29 16:37:32
348;Frankfurter RG Germania;1210;;11610;Frankfurter RG Germania;2025-11-29 16:37:32
349;Frankfurter RG Oberrad;1212;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
350;Hanauer RG;1216;;11627;Hanauer RG;2025-11-29 16:37:32
351;Frankfurter RC;1218;;11616;Frankfurter RC;2025-11-29 16:37:32
352;Mühlheimer RV;1220;;11637;Mühlheimer RV;2025-11-29 16:37:32
353;WSV Offenbach am Main-Bürgel;1229;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
354;WSV Offenbach am Main-Bürgel;1231;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
355;SG Wiking;1233;;11643;SG Wiking;2025-11-29 16:37:32
356;RC Aschaffenburg;1237;;11101;RC Aschaffenburg;2025-11-29 16:37:32
357;RG Wetzlar;1239;;11647;RG Wetzlar;2025-11-29 16:37:32
358;SG Wiking;1241;;11643;SG Wiking;2025-11-29 16:37:32
359;RG Eberbach;1245;;11004;RG Eberbach;2025-11-29 16:37:32
360;Hanauer RG;1247;;11627;Hanauer RG;2025-11-29 16:37:32
361;Rgm. Frankfurter RG Germania/ SRR Schillerschule Frankfurt;1260;Rgm. Frankfurter RG Germania/;15626;SRR Schillerschule Frankfurt;2025-11-29 16:37:32
362;Frankfurter RC;1263;;11616;Frankfurter RC;2025-11-29 16:37:32
363;Offenbacher RG Undine;1269;;11641;Offenbacher RG Undine;2025-11-29 16:37:32
364;RG Eberbach;1271;;11004;RG Eberbach;2025-11-29 16:37:32
365;Rgm. RC Möve Grossauheim/ Mühlheimer RV;1273;Rgm. / Mühlheimer RV;11625;RC Möve Grossauheim;2025-11-29 16:37:32
366;Marburger RV;1280;;11636;Marburger RV;2025-11-29 16:37:32
367;Hanauer RG;1282;;11627;Hanauer RG;2025-11-29 16:37:32
368;Frankfurter RG Borussia;1286;;11607;Frankfurter RG Borussia;2025-11-29 16:37:32
369;RV Hellas Offenbach;1288;;11638;RV Hellas Offenbach;2025-11-29 16:37:32
370;Hanauer RC Hassia;1292;;11626;Hanauer RC Hassia;2025-11-29 16:37:32
371;RG Wetzlar;1294;;11647;RG Wetzlar;2025-11-29 16:37:32
372;Hanauer RC Hassia;1305;;11626;Hanauer RC Hassia;2025-11-29 16:37:32
373;RC Aschaffenburg;1307;;11101;RC Aschaffenburg;2025-11-29 16:37:32
374;SG Wiking;1309;;11643;SG Wiking;2025-11-29 16:37:32
375;RC Aschaffenburg;1313;;11101;RC Aschaffenburg;2025-11-29 16:37:32
376;RC Karlstadt;1315;;11107;RC Karlstadt;2025-11-29 16:37:32
377;SG Wiking;1317;;11643;SG Wiking;2025-11-29 16:37:32
378;Mühlheimer RV;1321;;11637;Mühlheimer RV;2025-11-29 16:37:32
379;RC Karlstadt;1323;;11107;RC Karlstadt;2025-11-29 16:37:32
380;Hanauer RG;1325;;11627;Hanauer RG;2025-11-29 16:37:32
381;Hanauer RG;1327;;11627;Hanauer RG;2025-11-29 16:37:32
382;Hanauer RG;1331;;11627;Hanauer RG;2025-11-29 16:37:32
383;Hanauer RG;1333;;11627;Hanauer RG;2025-11-29 16:37:32
384;Mühlheimer RV;1335;;11637;Mühlheimer RV;2025-11-29 16:37:32
385;Mühlheimer RV;1339;;11637;Mühlheimer RV;2025-11-29 16:37:32
386;Hanauer RG;1341;;11627;Hanauer RG;2025-11-29 16:37:32
387;WSV Offenbach am Main-Bürgel;1343;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
388;Mühlheimer RV;1351;;11637;Mühlheimer RV;2025-11-29 16:37:32
389;Frauen-RV Freiweg Frankfurt;1353;;11609;Frauen-RV Freiweg Frankfurt;2025-11-29 16:37:32
390;Hanauer RG;1357;;11627;Hanauer RG;2025-11-29 16:37:32
391;Gießener RC Hassia;1359;;11622;Gießener RC Hassia;2025-11-29 16:37:32
392;Hanauer RG;1361;;11627;Hanauer RG;2025-11-29 16:37:32
393;Hanauer RC Hassia;1372;;11626;Hanauer RC Hassia;2025-11-29 16:37:32
394;WSV Offenbach am Main-Bürgel;1374;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
395;RG Wetzlar;1376;;11647;RG Wetzlar;2025-11-29 16:37:32
396;Frankfurter RG Germania;1385;;11610;Frankfurter RG Germania;2025-11-29 16:37:32
397;Frankfurter RC;1387;;11616;Frankfurter RC;2025-11-29 16:37:32
398;RG Wetzlar;1389;;11647;RG Wetzlar;2025-11-29 16:37:32
399;Frankfurter Ruder- und Kanusport Verein;1393;;11620;Frankfurter Ruder- und Kanusport Verein;2025-11-29 16:37:32
400;Hanauer RG;1395;;11627;Hanauer RG;2025-11-29 16:37:32
401;Frankfurter RC;1403;;11616;Frankfurter RC;2025-11-29 16:37:32
402;RG Eberbach;1405;;11004;RG Eberbach;2025-11-29 16:37:32
403;Frankfurter RG Oberrad;1409;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
404;RG Wetzlar;1411;;11647;RG Wetzlar;2025-11-29 16:37:32
405;SG Wiking;1413;;11643;SG Wiking;2025-11-29 16:37:32
406;RG Wetzlar;1415;;11647;RG Wetzlar;2025-11-29 16:37:32
407;Rgm. Hanauer RC Hassia/ Frankfurter RG Borussia;1426;Rgm. Hanauer RC Hassia/;11607;Frankfurter RG Borussia;2025-11-29 16:37:32
408;Frankfurter RG Borussia;1428;;11607;Frankfurter RG Borussia;2025-11-29 16:37:32
409;Gießener RC Hassia;1430;;11622;Gießener RC Hassia;2025-11-29 16:37:32
410;Rgm. DRC Ingolstadt/ RC Möve Grossauheim;1434;Rgm. DRC Ingolstadt/;11625;RC Möve Grossauheim;2025-11-29 16:37:32
411;Marburger RV;1436;;11636;Marburger RV;2025-11-29 16:37:32
412;RV Hellas Offenbach;1438;;11638;RV Hellas Offenbach;2025-11-29 16:37:32
413;Rgm. Frankfurter RC/ Frankfurter RG Germania;1442;Rgm. Frankfurter RC/;11610;Frankfurter RG Germania;2025-11-29 16:37:32
414;Rgm. Frankfurter RC/ SG Wiking;1444;Rgm. / SG Wiking;11616;Frankfurter RC;2025-11-29 16:37:32
415;SG Wiking;1449;;11643;SG Wiking;2025-11-29 16:37:32
416;RC Karlstadt;1451;;11107;RC Karlstadt;2025-11-29 16:37:32
417;Frankfurter RG Oberrad;1456;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
418;RC Möve Grossauheim;1458;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
419;Wormser RC;1465;;12038;Wormser RC;2025-11-29 16:37:32
420;Mühlheimer RV;1467;;11637;Mühlheimer RV;2025-11-29 16:37:32
421;Frankfurter RG Germania;1469;;11610;Frankfurter RG Germania;2025-11-29 16:37:32
422;Frankfurter RG Oberrad;1481;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
423;Frankfurter RG Oberrad;1483;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
424;SG Wiking;1485;;11643;SG Wiking;2025-11-29 16:37:32
425;RG Wetzlar;1489;;11647;RG Wetzlar;2025-11-29 16:37:32
426;Frankfurter RC;1491;;11616;Frankfurter RC;2025-11-29 16:37:32
427;SG Wiking;1493;;11643;SG Wiking;2025-11-29 16:37:32
428;Mühlheimer RV;1497;;11637;Mühlheimer RV;2025-11-29 16:37:32
429;SG Wiking;1499;;11643;SG Wiking;2025-11-29 16:37:32
430;Hanauer RG;1501;;11627;Hanauer RG;2025-11-29 16:37:32
431;Frankfurter RG Oberrad;1505;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
432;RC Möve Grossauheim;1507;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
433;Frankfurter RC;1509;;11616;Frankfurter RC;2025-11-29 16:37:32
434;Rgm. RC Möve Grossauheim/ Mühlheimer RV;1514;Rgm. / Mühlheimer RV;11625;RC Möve Grossauheim;2025-11-29 16:37:32
435;WSV Offenbach am Main-Bürgel;1516;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
436;WSV Offenbach am Main-Bürgel;1518;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
437;RG Wetzlar;1532;;11647;RG Wetzlar;2025-11-29 16:37:32
438;RG Eberbach;1534;;11004;RG Eberbach;2025-11-29 16:37:32
439;Wormser RC;1536;;12038;Wormser RC;2025-11-29 16:37:32
440;Hanauer RC Hassia;1538;;11626;Hanauer RC Hassia;2025-11-29 16:37:32
441;Hanauer RC Hassia;1542;;11626;Hanauer RC Hassia;2025-11-29 16:37:32
442;Marburger RV;1544;;11636;Marburger RV;2025-11-29 16:37:32
443;RG Eberbach;1546;;11004;RG Eberbach;2025-11-29 16:37:32
444;Wormser RC;1550;;12038;Wormser RC;2025-11-29 16:37:32
445;Frankfurter RG Oberrad;1552;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
446;Marburger RV;1554;;11636;Marburger RV;2025-11-29 16:37:32
447;RC Aschaffenburg;1558;;11101;RC Aschaffenburg;2025-11-29 16:37:32
448;Offenbacher RG Undine;1560;;11641;Offenbacher RG Undine;2025-11-29 16:37:32
449;Frankfurter RC;1564;;11616;Frankfurter RC;2025-11-29 16:37:32
450;RG Wetzlar;1566;;11647;RG Wetzlar;2025-11-29 16:37:32
451;RC Möve Grossauheim;1568;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
452;Offenbacher RG Undine;1580;;11641;Offenbacher RG Undine;2025-11-29 16:37:32
453;Frankfurter RG Germania;1582;;11610;Frankfurter RG Germania;2025-11-29 16:37:32
454;Frankfurter RG Germania;1584;;11610;Frankfurter RG Germania;2025-11-29 16:37:32
455;SG Wiking;1586;;11643;SG Wiking;2025-11-29 16:37:32
456;Frankfurter RG Oberrad;1590;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
457;Hanauer RG;1592;;11627;Hanauer RG;2025-11-29 16:37:32
458;Hanauer RG;1594;;11627;Hanauer RG;2025-11-29 16:37:32
459;Frankfurter RG Borussia;1601;;11607;Frankfurter RG Borussia;2025-11-29 16:37:32
460;Gießener RC Hassia;1603;;11622;Gießener RC Hassia;2025-11-29 16:37:32
461;Marburger RV;1607;;11636;Marburger RV;2025-11-29 16:37:32
462;RV Hellas Offenbach;1609;;11638;RV Hellas Offenbach;2025-11-29 16:37:32
463;RC Möve Grossauheim;1613;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
464;Wormser RC;1615;;12038;Wormser RC;2025-11-29 16:37:32
465;RC Aschaffenburg;1620;;11101;RC Aschaffenburg;2025-11-29 16:37:32
466;WSV Hellas Gießen;1622;;11623;WSV Hellas Gießen;2025-11-29 16:37:32
467;Frankfurter RG Oberrad;1626;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
468;Wormser RC;1628;;12038;Wormser RC;2025-11-29 16:37:32
469;Frankfurter RG Germania;1640;;11610;Frankfurter RG Germania;2025-11-29 16:37:32
470;RG Eberbach;1642;;11004;RG Eberbach;2025-11-29 16:37:32
471;Rgm. RC Möve Grossauheim/ Mühlheimer RV;1644;Rgm. / Mühlheimer RV;11625;RC Möve Grossauheim;2025-11-29 16:37:32
472;Rgm. Marburger RV/ Gießener RC Hassia/ RG Wetzlar;1649;Rgm. Marburger RV/ / RG Wetzlar;11622;Gießener RC Hassia;2025-11-29 16:37:32
473;Rgm. WSV Offenbach am Main-Bürgel/ Nassovia Höchst;1652;Rgm. WSV Offenbach am Main-Bürgel/;11612;Nassovia Höchst;2025-11-29 16:37:32
474;RC Möve Grossauheim;1658;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
475;SG Wiking;1660;;11643;SG Wiking;2025-11-29 16:37:32
476;RC Karlstadt;1662;;11107;RC Karlstadt;2025-11-29 16:37:32
477;RC Möve Grossauheim;1666;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
478;SG Wiking;1668;;11643;SG Wiking;2025-11-29 16:37:32
479;SG Wiking;1670;;11643;SG Wiking;2025-11-29 16:37:32
480;WSV Offenbach am Main-Bürgel;1674;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
481;Hanauer RG;1676;;11627;Hanauer RG;2025-11-29 16:37:32
482;Frankfurter Ruder- und Kanusport Verein;1678;;11620;Frankfurter Ruder- und Kanusport Verein;2025-11-29 16:37:32
483;SRR Schillerschule Frankfurt;1686;;15626;SRR Schillerschule Frankfurt;2025-11-29 16:37:32
484;Frankfurter RC;1688;;11616;Frankfurter RC;2025-11-29 16:37:32
485;Frankfurter RC;1690;;11616;Frankfurter RC;2025-11-29 16:37:32
486;RC Karlstadt;1694;;11107;RC Karlstadt;2025-11-29 16:37:32
487;RC Möve Grossauheim;1696;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
488;Wormser RC;1707;;12038;Wormser RC;2025-11-29 16:37:32
489;Rgm. RG Wetzlar/ Marburger RV/ Gießener R.G./ Gießener RC Hassia;1709;Rgm. RG Wetzlar/ Marburger RV/ Gießener R.G./;11622;Gießener RC Hassia;2025-11-29 16:37:32
490;Rgm. RC Möve Grossauheim/ Frankfurter RG Borussia;1712;Rgm. RC Möve Grossauheim/;11607;Frankfurter RG Borussia;2025-11-29 16:37:32
491;Frankfurter RG Germania;1715;;11610;Frankfurter RG Germania;2025-11-29 16:37:32
492;Rgm. Hanauer RG/ WSV Offenbach am Main-Bürgel;1720;Rgm. Hanauer RG/ am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
493;Rgm. Marburger RV/ Frankfurter RG Borussia;1723;Rgm. Marburger RV/;11607;Frankfurter RG Borussia;2025-11-29 16:37:32
494;RC Aschaffenburg;1729;;11101;RC Aschaffenburg;2025-11-29 16:37:32
495;RV Hellas Offenbach;1731;;11638;RV Hellas Offenbach;2025-11-29 16:37:32
496;RG Eberbach;1733;;11004;RG Eberbach;2025-11-29 16:37:32
497;Wormser RC;1737;;12038;Wormser RC;2025-11-29 16:37:32
498;WSV Offenbach am Main-Bürgel;1739;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
499;Offenbacher RG Undine;1741;;11641;Offenbacher RG Undine;2025-11-29 16:37:32
500;Hanauer RG;1743;;11627;Hanauer RG;2025-11-29 16:37:32
501;RC Aschaffenburg;1747;;11101;RC Aschaffenburg;2025-11-29 16:37:32
502;WSV Offenbach am Main-Bürgel;1749;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
503;Mühlheimer RV;1751;;11637;Mühlheimer RV;2025-11-29 16:37:32
504;Frankfurter RC;1755;;11616;Frankfurter RC;2025-11-29 16:37:32
505;Marburger RV;1757;;11636;Marburger RV;2025-11-29 16:37:32
506;WSV Offenbach am Main-Bürgel;1773;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
507;Frankfurter RG Germania;1775;;11610;Frankfurter RG Germania;2025-11-29 16:37:32
508;RC Möve Grossauheim;1777;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
509;RC Aschaffenburg;1781;;11101;RC Aschaffenburg;2025-11-29 16:37:32
510;WSV Hellas Gießen;1783;;11623;WSV Hellas Gießen;2025-11-29 16:37:32
511;RC Möve Grossauheim;1785;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
512;RC Karlstadt;1793;;11107;RC Karlstadt;2025-11-29 16:37:32
513;RC Karlstadt;1795;;11107;RC Karlstadt;2025-11-29 16:37:32
514;Hanauer RG;1800;;11627;Hanauer RG;2025-11-29 16:37:32
515;Marburger RV;1802;;11636;Marburger RV;2025-11-29 16:37:32
516;Hanauer RC Hassia;1804;;11626;Hanauer RC Hassia;2025-11-29 16:37:32
517;Rgm. Gießener RC Hassia/ DRC Ingolstadt;1808;Rgm. / DRC Ingolstadt;11622;Gießener RC Hassia;2025-11-29 16:37:32
518;RV Hellas Offenbach;1810;;11638;RV Hellas Offenbach;2025-11-29 16:37:32
519;Frankfurter RC;1814;;11616;Frankfurter RC;2025-11-29 16:37:33
520;Hanauer RG;1816;;11627;Hanauer RG;2025-11-29 16:37:33
521;Frankfurter RG Oberrad;1827;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:33
522;RG Wetzlar;1829;;11647;RG Wetzlar;2025-11-29 16:37:33
523;Frankfurter RC;1831;;11616;Frankfurter RC;2025-11-29 16:37:33
524;Frankfurter RG Oberrad;1833;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:33
525;Frankfurter RG Oberrad;1837;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:33
526;RG Wetzlar;1839;;11647;RG Wetzlar;2025-11-29 16:37:33
527;Hanauer RG;1841;;11627;Hanauer RG;2025-11-29 16:37:33
528;Rgm. RC Möve Grossauheim/ WSV Offenbach am Main-Bürgel;1848;Rgm. / WSV Offenbach am Main-Bürgel;11625;RC Möve Grossauheim;2025-11-29 16:37:33
529;Rgm. Frankfurter RG Borussia/ RC Aschaffenburg;1850;Rgm. / RC Aschaffenburg;11607;Frankfurter RG Borussia;2025-11-29 16:37:33
530;Frauen-RV Freiweg Frankfurt;1853;;11609;Frauen-RV Freiweg Frankfurt;2025-11-29 16:37:33
531;RC Aschaffenburg;1860;;11101;RC Aschaffenburg;2025-11-29 16:37:33
532;Frankfurter RG Germania;1863;;11610;Frankfurter RG Germania;2025-11-29 16:37:33
533;Frankfurter RG Oberrad;1866;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:33
534;Rgm. Hanauer RC Hassia/ Frankfurter RG Oberrad/ Frankfurter RC/ Frankfurter RG;1872;Rgm. Hanauer RC Hassia/ / Frankfurter RC/ Frankfurter RG;11614;Frankfurter RG Oberrad;2025-11-29 16:37:33
535;Rgm. RC Möve Grossauheim/ Frankfurter RG Borussia/ DRC Ingolstadt/ Gießener R.G.;1876;Rgm. RC Möve Grossauheim/ / DRC Ingolstadt/ Gießener R.G.;11607;Frankfurter RG Borussia;2025-11-29 16:37:33
536;Marburger RV;1879;;11636;Marburger RV;2025-11-29 16:37:33
537;Rgm. Ruderclub Zellingen v. 1946 e.V./ Würzburger Ruderverein Bayern von 1875/1905 e.V.;1888;Rgm. Ruderclub Zellingen v. 1946 e.V./;11135;Würzburger Ruderverein Bayern von 1875/1905 e.V.;2025-11-29 16:37:33
538;Rgm. Hanauer RG/ Mühlheimer RV;1890;Rgm. Hanauer RG/;11637;Mühlheimer RV;2025-11-29 16:37:33
539;Hanauer RG;1892;;11627;Hanauer RG;2025-11-29 16:37:33
540;Hersfelder RV;1896;;11628;Hersfelder RV;2025-11-29 16:37:33
541;Rgm. RV Hellas Offenbach/ Flörsheimer RV;1898;Rgm. / Flörsheimer RV;11638;RV Hellas Offenbach;2025-11-29 16:37:33
542;RC Aschaffenburg;1903;;11101;RC Aschaffenburg;2025-11-29 16:37:33
543;SG Wiking;1905;;11643;SG Wiking;2025-11-29 16:37:33
544;RC Karlstadt;1907;;11107;RC Karlstadt;2025-11-29 16:37:33
545;Hanauer RG;1911;;11627;Hanauer RG;2025-11-29 16:37:33
546;Hanauer RG;1913;;11627;Hanauer RG;2025-11-29 16:37:33
547;Mühlheimer RV;1915;;11637;Mühlheimer RV;2025-11-29 16:37:33
548;Mühlheimer RV;1920;;11637;Mühlheimer RV;2025-11-29 16:37:33
549;WSV Offenbach am Main-Bürgel;1922;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:33
550;RV Hellas Offenbach;1924;;11638;RV Hellas Offenbach;2025-11-29 16:37:33
551;RC Möve Grossauheim;1926;;11625;RC Möve Grossauheim;2025-11-29 16:37:33
552;RC Aschaffenburg;1930;;11101;RC Aschaffenburg;2025-11-29 16:37:33
553;Frankfurter Ruder- und Kanusport Verein;1932;;11620;Frankfurter Ruder- und Kanusport Verein;2025-11-29 16:37:33
554;WSV Offenbach am Main-Bürgel;1934;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:33
555;Mühlheimer RV;1936;;11637;Mühlheimer RV;2025-11-29 16:37:33
556;Frankfurter RC;1940;;11616;Frankfurter RC;2025-11-29 16:37:33
557;WSV Offenbach am Main-Bürgel;1942;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:33
558;RC Aschaffenburg;1953;;11101;RC Aschaffenburg;2025-11-29 16:37:33
559;WSV Offenbach am Main-Bürgel;1955;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:33
560;Frankfurter RC;1959;;11616;Frankfurter RC;2025-11-29 16:37:33
561;Marburger RV;1961;;11636;Marburger RV;2025-11-29 16:37:33
562;Rgm. Frankfurter RG Germania/ Weilburger RV;1968;Rgm. / Weilburger RV;11610;Frankfurter RG Germania;2025-11-29 16:37:33
563;Frankfurter RC;1970;;11616;Frankfurter RC;2025-11-29 16:37:33
564;RG Eberbach;1972;;11004;RG Eberbach;2025-11-29 16:37:33
565;Frankfurter RG Oberrad;1976;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:33
566;Frankfurter RC;1978;;11616;Frankfurter RC;2025-11-29 16:37:33
567;SG Wiking;1980;;11643;SG Wiking;2025-11-29 16:37:33
568;RG Eberbach;1987;;11004;RG Eberbach;2025-11-29 16:37:33
569;Rgm. Marburger RV/ Gießener RC Hassia;1989;Rgm. Marburger RV/;11622;Gießener RC Hassia;2025-11-29 16:37:33
570;Wormser RC;1991;;12038;Wormser RC;2025-11-29 16:37:33
571;Rgm. WSV Offenbach am Main-Bürgel/ Nassovia Höchst;1995;Rgm. WSV Offenbach am Main-Bürgel/;11612;Nassovia Höchst;2025-11-29 16:37:33
572;RC Möve Grossauheim;1997;;11625;RC Möve Grossauheim;2025-11-29 16:37:33
573;Frankfurter RG Oberrad;1999;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:33
574;RC Möve Grossauheim;2010;;11625;RC Möve Grossauheim;2025-11-29 16:37:33
575;Frankfurter RG Oberrad;2012;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:33
576;Frankfurter RG Oberrad;2016;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:33
577;Frankfurter RG Oberrad;2018;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:33
578;RC Möve Grossauheim;2020;;11625;RC Möve Grossauheim;2025-11-29 16:37:33
579;Frankfurter RG Oberrad;2024;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:33
580;RC Aschaffenburg;2026;;11101;RC Aschaffenburg;2025-11-29 16:37:33
581;RC Möve Grossauheim;2028;;11625;RC Möve Grossauheim;2025-11-29 16:37:33
582;Frankfurter RG Germania;2036;;11610;Frankfurter RG Germania;2025-11-29 16:37:33
583;SG Wiking;2039;;11643;SG Wiking;2025-11-29 16:37:33
584;Rgm. Frankfurter RG Germania/ Weilburger RV;2049;Rgm. / Weilburger RV;11610;Frankfurter RG Germania;2025-11-29 16:37:33
585;Frankfurter RG Oberrad;2052;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:33
586;Rgm. Frankfurter RG Germania/ SRR Schillerschule Frankfurt;156;Rgm. /;11610;Frankfurter RG Germania;2025-11-29 16:37:37
587;Rgm. Frankfurter RC/ Frankfurter RG Germania;374;Rgm. /;11616;Frankfurter RC;2025-11-29 16:37:37
588;Rgm. Frankfurter RC/ SG Wiking;376;Rgm. /;11643;SG Wiking;2025-11-29 16:37:37
589;Rgm. RG Wetzlar/ WSV Hellas Gießen;378;Rgm. /;11647;RG Wetzlar;2025-11-29 16:37:37
590;Rgm. RC Möve Grossauheim/ Mühlheimer RV;465;Rgm. /;11637;Mühlheimer RV;2025-11-29 16:37:37
