ID;zeile_inhalt_orig;extracted_data_id;zeile_inhalt_ohne_treffer;Verein_DRVID;Verein;gefunden_am
76;Hanauer RG;243;;11627;Hanauer RG;2025-11-29 16:37:32
77;Mühlheimer RV;247;;11637;Mühlheimer RV;2025-11-29 16:37:32
78;Hanauer RG;249;;11627;Hanauer RG;2025-11-29 16:37:32
79;Hanauer RG;251;;11627;Hanauer RG;2025-11-29 16:37:32
80;Mühlheimer RV;263;;11637;Mühlheimer RV;2025-11-29 16:37:32
81;Gießener RC Hassia;265;;11622;Gießener RC Hassia;2025-11-29 16:37:32
82;Frauen-RV Freiweg Frankfurt;267;;11609;Frauen-RV Freiweg Frankfurt;2025-11-29 16:37:32
83;Hanauer RC Hassia;274;;11626;Hanauer RC Hassia;2025-11-29 16:37:32
84;Limburger ClfW;276;;11635;Limburger ClfW;2025-11-29 16:37:32
85;RG Wetzlar;278;;11647;RG Wetzlar;2025-11-29 16:37:32
86;Frankfurter RG Germania;289;;11610;Frankfurter RG Germania;2025-11-29 16:37:32
87;Frankfurter RC;291;;11616;Frankfurter RC;2025-11-29 16:37:32
88;Limburger ClfW;297;;11635;Limburger ClfW;2025-11-29 16:37:32
89;Hanauer RG;299;;11627;Hanauer RG;2025-11-29 16:37:32
90;Frankfurter Ruder- und Kanusport Verein;301;;11620;Frankfurter Ruder- und Kanusport Verein;2025-11-29 16:37:32
91;Frankfurter RC;315;;11616;Frankfurter RC;2025-11-29 16:37:32
92;Hanauer RC Hassia;317;;11626;Hanauer RC Hassia;2025-11-29 16:37:32
93;RG Eberbach;319;;11004;RG Eberbach;2025-11-29 16:37:32
94;Frankfurter RC;323;;11616;Frankfurter RC;2025-11-29 16:37:32
95;Nassovia Höchst;325;;11612;Nassovia Höchst;2025-11-29 16:37:32
96;Frankfurter RG Oberrad;329;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
97;SG Wiking;331;;11643;SG Wiking;2025-11-29 16:37:32
