ID;zeile_inhalt;zeile_inhalt_orig;extracted_data_id;gefunden_am
110;Rgm. /;Rgm. Frankfurter RC/ SG Wiking;376;2025-11-29 16:37:31
111;Rgm. /;Rgm. RG Wetzlar/ WSV Hellas Gießen;378;2025-11-29 16:37:31
112;;SG Wiking;383;2025-11-29 16:37:31
113;;Hanauer RC Hassia;385;2025-11-29 16:37:31
114;;RC Karlstadt;389;2025-11-29 16:37:31
115;;Limburger ClfW;391;2025-11-29 16:37:31
116;;Frankfurter RG Oberrad;396;2025-11-29 16:37:31
117;am Main-Bürgel;WSV Offenbach am Main-Bürgel;398;2025-11-29 16:37:31
118;;Nassovia Höchst;407;2025-11-29 16:37:31
119;;Limburger ClfW;409;2025-11-29 16:37:31
120;;Frankfurter RG Germania;411;2025-11-29 16:37:31
121;;Hanauer RC Hassia;415;2025-11-29 16:37:31
122;;Wormser RC;417;2025-11-29 16:37:31
123;;Frankfurter RG Oberrad;426;2025-11-29 16:37:31
124;;Frankfurter RG Oberrad;428;2025-11-29 16:37:31
125;;SG Wiking;430;2025-11-29 16:37:31
126;;RG Wetzlar;434;2025-11-29 16:37:31
127;;Frankfurter RC;436;2025-11-29 16:37:31
128;;Frankfurter RG Oberrad;438;2025-11-29 16:37:31
129;;Nassovia Höchst;442;2025-11-29 16:37:31
130;;SG Wiking;444;2025-11-29 16:37:31
131;;Frankfurter RC;448;2025-11-29 16:37:31
132;;RC Möve Grossauheim;450;2025-11-29 16:37:31
133;;Mühlheimer RV;452;2025-11-29 16:37:31
134;;Hanauer RG;454;2025-11-29 16:37:31
135;Rgm. /;Rgm. RC Möve Grossauheim/ Mühlheimer RV;465;2025-11-29 16:37:31
136;am Main-Bürgel;WSV Offenbach am Main-Bürgel;467;2025-11-29 16:37:31
137;am Main-Bürgel;WSV Offenbach am Main-Bürgel;469;2025-11-29 16:37:31
138;Rgm. / / am Main-Bürgel;Rgm. Nassovia Höchst/ Limburger ClfW/ WSV Offenbach am Main-Bürgel;476;2025-11-29 16:37:31
139;;RC Möve Grossauheim;479;2025-11-29 16:37:31
140;;Frankfurter RG Germania;485;2025-11-29 16:37:31
141;;SG Wiking;488;2025-11-29 16:37:31
142;;Limburger ClfW;491;2025-11-29 16:37:31
143;;Hersfelder RV;497;2025-11-29 16:37:31
144;Rgm. /;Rgm. Frankfurter RG Borussia/ RC Aschaffenburg;499;2025-11-29 16:37:31
145;;Frauen-RV Freiweg Frankfurt;502;2025-11-29 16:37:31
146;;Frauen-RV Freiweg Frankfurt;504;2025-11-29 16:37:31
147;;Marburger RV;513;2025-11-29 16:37:31
148;;Nassovia Höchst;515;2025-11-29 16:37:31
149;;Hanauer RC Hassia;517;2025-11-29 16:37:31
150;;RG Wetzlar;519;2025-11-29 16:37:31
151;;RG Eberbach;523;2025-11-29 16:37:31
152;;RG Eberbach;525;2025-11-29 16:37:31
153;;Hanauer RC Hassia;527;2025-11-29 16:37:31
154;;Wormser RC;529;2025-11-29 16:37:31
155;;RC Aschaffenburg;533;2025-11-29 16:37:31
156;;Offenbacher RG Undine;535;2025-11-29 16:37:31
157;;Frankfurter RG Oberrad;539;2025-11-29 16:37:31
158;;Limburger ClfW;541;2025-11-29 16:37:31
159;;Nassovia Höchst;543;2025-11-29 16:37:31
160;;Frankfurter RC;547;2025-11-29 16:37:31
161;am Main-Bürgel;WSV Offenbach am Main-Bürgel;549;2025-11-29 16:37:31
162;;RC Möve Grossauheim;551;2025-11-29 16:37:31
163;;RG Wetzlar;553;2025-11-29 16:37:31
164;;Offenbacher RG Undine;568;2025-11-29 16:37:31
165;;Frankfurter RG Germania;570;2025-11-29 16:37:31
166;;Frankfurter RG Germania;572;2025-11-29 16:37:31
167;Rgm. /;Rgm. Hanauer RC Hassia/ Hanauer RG;574;2025-11-29 16:37:31
168;;Frankfurter RG Oberrad;578;2025-11-29 16:37:31
169;;Hanauer RG;580;2025-11-29 16:37:31
170;;Hanauer RG;584;2025-11-29 16:37:31
171;;Hanauer RC Hassia;586;2025-11-29 16:37:31
172;;Frankfurter RG Borussia;593;2025-11-29 16:37:31
173;;Gießener RC Hassia;595;2025-11-29 16:37:31
174;;RV Hellas Offenbach;599;2025-11-29 16:37:31
175;;Marburger RV;601;2025-11-29 16:37:31
