"PrimaryKey";"Verein_DRVID";"Verein";"Lettern";"Kurzident";"Kurzident2";"AnzahlKurzIdent";"ErstesVereinZeichen";"Knüpf";"Laenge"
45;50002;"Schülerruderverband im Nordrhein-Westfälischen Ruder-Verbnad";"SRVNRW";"Nordrhein";"schüler";2;"S";"K";60
46;50009;"Schleswig-Holsteinische Ruderjugend im RVbd. Schl.-Holstein";"SHRJ";"Schleswig";"jugend";2;"S";"K";59
47;12019;"Eisenbahner Sportverein Eintracht Mainz 1927 Ruderabteilung";"ESVM";"Eintracht";"Mainz";2;"E";"K";59
48;15919;"Gymnasial Ruder-Club am städt. Ernst-Moritz-Arndt-Gymnasium";"GRCEMA";"Moritz";"städt";2;"G";"K";59
49;12417;"Möllner Ruder-Club e.V. vorm. Möllner Turnerschaft v. 1884";"MRC";"mölln";"club";2;"M";"K";58
50;15113;"Schülerruderriege München in der Rudergesellschaft München";"SRR München";"München";"schüler";2;"S";"K";58
51;11919;"Wasser-Sport-Verein Düsseldorf Rudergesellschaft von 1893";"WSVD";"wasser";"düssel";2;"W";"K";57
52;60004;"Ruhr-Universität Bochum   Fakultät für Sportwissenschaft,";"UniBo";"bochum";"uni";2;"R";"K";57
53;11639;"Interessengemeinschaft Offenbacher Rudervereine IGOR e.V.";"IGOR";"IGOR";;1;"I";"K";57
54;11620;"Frankfurter Ruder- und Kanusportverein Sachsenhausen 1898";"FRVS";"Frankfurt";"sachsen";2;"F";"K";57
55;11619;"Frankfurter Rudergesellschaft Sachsenhausen v. 1879 e.V.";"FRGS";"Frankfurt";"sachsen";2;"F";"K";56
56;60013;"Philipps-Universität Marburg, Zentrum für Hochschulsport";"ZFH";"Marburg";"phili";2;"P";"K";56
57;12310;"Universitätssportclub 'Otto von Guericke' Magdeburg e.V.";"USCM";"Magdeburg";"otto";2;"U";"K";56
58;16007;"Schülerruderriege Bischöfliches Willigis-Gymnasium Mainz";"SRR Bischöfliches Willigis-Gymnasium Mainz";"Mainz";"willi";2;"S";"K";56
59;12310;"Universitätssportclub ""Otto-von-Guericke"" Magdeburg e.V.";"USCM";"Magdeburg";"uni";2;"U";"K";56
60;60011;"Sportzentrum der Christian-Albrechts-Universität zu Kiel";"CAU Kiel";"Kiel";"chris";2;"S";"K";56
61;15512;"Schülerruderriege der Geschwister-Scholl-Stadtteilschule";"SRR GSST";"Scholl";"geschwis";2;"S";"K";56
62;11116;"Münchener Ruder- und Segelverein 'Bayern' von 1910 e.V.";"MRSV";"München";"segel";2;"M";"K";55
63;30017;"Landesruderverband Mecklenburg-Vorpommern von 1990 e.V.";"LRVMVP";"Mecklen";"landes";2;"L";"K";55
64;19717;"Landesruderverband Mecklenburg-Vorpommern von 1990 e.V.";"LRV MV";"Mecklen";"landes";2;"L";"K";55
65;11612;"Ruder-Club Nassovia Höchst 1881 e.V., Frankfurt am Main";"RCNH";"Frankfurt";"höchst";2;"R";"K";55
66;11212;"Sport-Vereinigung Dresdenia Berlin e.V. Ruder-Abteilung";"SVgDB";"Berlin";"dresde";2;"S";"K";55
67;11811;"Sportgemeinschaft Diepholz von 1870 e.V. Ruderabteilung";"SGD";"Diepholz";;1;"S";"K";55
68;11116;"Münchener Ruder- und Segelverein ""Bayern"" von 1910 e.V.";"MRSVB";"München";"segel";2;"M";"K";55
69;11203;"Ruderriege des Akademischen Turnvereins zu Berlin e.V.";"ATVB";"Berlin";"riege";2;"R";"K";54
70;11011;"Heilbronner Rudergesellschaft 'Schwaben' von 1879 e.V.";"HRGS";"schwaben";"heil";2;"H";"K";54
71;11205;"Astoria-Rudergemeinschaft in der Berliner Turnerschaft";"BRKA";"Astoria";;1;"A";"K";54
72;12417;"Möllner Ruder-Club vorm. Möllner Turnerschaft v. 1884";"MRC";"mölln";"club";2;"M";"K";53
73;11832;"Ruderverein für das 'Große Freie' e.V. Lehrte/ Sehnde";"RGF";"roße Freie";"lehrte";2;"R";"K";53
74;11642;"Wassersportverein 1926 e.V. Offenbach am Main- Bürgel";"WSVO";"bürgel";;1;"W";"K";53
75;15504;"Gymnasial Ruder Verein 'Hamburg' am Wilhelm-Gymnasium";"GRVH";"Hamburg";"wilhelm";2;"G";"K";53
76;11954;"RTHC Ruder-Tennis-Hockey-Club Bayer Leverkusen Ruder-";"RTHC";"RTHC";;1;"R";"K";53
77;12305;"Hallescher Ruderclub im Universitätssportverein Halle";"HRC";"halle";"uni";2;"H";"K";53
78;11642;"Wassersportverein 1926 e.V. Offenbach am Main-Bürgel";"WSVO";"bürgel";;1;"W";"K";52
79;11832;"Ruderverein für das 'Große Freie' e.V. Lehrte/Sehnde";"RGF";"freie";"Lehrte";2;"R";"K";52
80;11639;"Interessengemeinschaft Offenbacher Rudervereine IGOR";"IGOR";"IGOR";;1;"I";"K";52
81;15920;"Ruderriege von 1899 am Max-Planck-Gymnasium Dortmund";"RRMPGDO";"planck";"dortm";2;"R";"K";52
82;11036;"Rudergesellschaft 'Ghibellinia' Waiblingen 1920 e.V.";"RGGW";"Waibl";;1;"R";"K";52
83;60012;"Universität zu Köln -Abteilung 24- Universitätssport";"UniK24";"köln";"24";2;"U";"K";52
84;12411;"Rudervereinigung Kappeln im Turn- und SV Kappen 1876";"RVK";"Kappeln";;1;"R";"K";52
85;15920;"Ruderriege von 1899 am Max-Planck-Gymnasium Dortmund";"RRMPGDO";"planck";"dortm";2;"R";"K";52
86;11036;"Rudergesellschaft ""Ghibellinia"" Waiblingen 1920 e.V.";"RGGW";"Waibl";;1;"R";"K";52
87;12310;"Universitätssportclub ""Otto-von-Guericke"" Magdeburg";"USCM";"Magdeburg";"otto";2;"U";"K";51
88;60006;"Ruderriege der TH Darmstadt -Hochschulsportzentrum-";"THD";"Darmstadt";"riege";2;"R";"K";51
89;11603;"Darmstädter Schwimm- und Wassersport-Club 1912 e.V.";"DSW";"Darmstädter";"Schwimm";2;"D";"K";51
90;12214;"Universitätssportverein TU Dresden e.V. Abt. Rudern";"USVD";"dresden";"uni";2;"U";"K";51
91;60009;"Hochschulsport Förderverein der Universität Hamburg";"UniH";"Hamburg";"hochschulsport";2;"H";"K";51
92;11619;"Frankfurter Rudergesellschaft Sachsenhausen v. 1879";"FRGS";"Frankfurt";"sachsen";2;"F";"K";51
93;15510;"Berufliche Schule Recycling- u. Umwelttechnik (G 8)";"BSRU";"Recycling";;1;"B";"K";51
94;19715;"Allgemeiner Alster-Club/ Norddeutscher Ruderer-Bund";"Alster-Club";"alster";"allge";2;"A";"K";51
95;11642;"Wassersportverein 1926 e.V. Offenbach a.M. - Bürgel";"WSVO";"bürgel";;1;"W";"K";51
96;60003;"Universität Bielefeld, Abteilung Sportwissenschaft";"UB";"Bielefeld";"uni";2;"U";"K";50
97;60010;"Ruderriege des Karlsruher Institut für Technologie";"KIT";"karls";"riege";2;"R";"K";50
98;19717;"Landesruderverband Mecklenburg-Vorpommern von 1990";"LRV MV";"Mecklen";"landes";2;"L";"K";50
99;11116;"Münchener Ruder- und Segelverein ""Bayern"" von 1910";"MRSVB";"München";"segel";2;"M";"K";50
100;11805;"Turn- und Sportverein Bramsche e.V. Ruderabteilung";"TSVB";"Bramsche";"turn";2;"T";"K";50
101;11116;"Münchener Ruder- und Segelverein 'Bayern' von 1910";"MRSV";"München";"segel";2;"M";"K";50
102;30017;"Landesruderverband Mecklenburg-Vorpommern von 1990";"LRVMVP";"Mecklen";"landes";2;"L";"K";50
103;11618;"Sport- und Kulturgemeinschaft Frankfurt e.V. (SKG)";"SKGF";"Frankfurt";"sport";2;"S";"K";50
104;12305;"Hallescher Ruderclub e.V. im Universitätssportvere";"HRC";"halle";"uni";2;"H";"K";50
105;50010;"Schülerruderverband im Kölner Regatta-Verband e.V.";"SRVK";"köln";"schüler";2;"S";"K";50
106;11239;"Eisenbahn-Sportverein Schmöckwitz e.V. Abt. Rudern";"ESVS";"Schmöckwitz";;1;"E";"K";50
107;15822;"RV Zinfandel e.V. Landesbildungszentrum für Blinde";"RVZ";"Zinfand";;1;"R";"K";50
108;11610;"Frankfurter Rudergesellschaft ""Germania"" 1869 e.V.";"FRGG";"Frankfurt";"german";2;"F";"K";50
109;30015;"Allgemeiner Alster-Club/Norddeutscher Ruderer-Bund";"AAC/NRB";"bund";"nord";2;"A";"K";50
110;11607;"Frankfurter Rudergesellschaft 'Borussia' 1896 e.V.";"FRGB";"Frankfurt";"boru";2;"F";"K";50
111;11610;"Frankfurter Rudergesellschaft 'Germania' 1869 e.V.";"FRGG";"Frankfurt";"german";2;"F";"K";50
112;11811;"Sportgemeinschaft Diepholz von 1870 Ruderabteilung";"SGD";"Diepholz";;1;"S";"K";50
113;11212;"Sport-Vereinigung Dresdenia Berlin Ruder-Abteilung";"SVgDB";"Berlin";"dresde";2;"S";"K";50
114;15503;"SRV Albatros Harburg des Friedrich-Ebert-Gymnasium";"SRVAGH";"harburg";"albatros";2;"S";"K";50
115;11832;"Ruderverein für das Große Freie e.V. Lehrte/Sehnde";"RGF";"freie";"Lehrte";2;"R";"K";50
116;11853;"Sportvereinigung Scharnebeck  e.V. Ruderabteilung";"SvgS";"Scharnebe";;1;"S";"K";49
117;60022;"Allgemeiner Hochschulsport der Universität Kassel";"UNIK";"kassel";"uni";2;"A";"K";49
118;13801;"Regattaverband Ems-Jade-Weser/Team Nord-West e.V.";"RVEJW";"Jade";"reg";2;"R";"K";49
119;15617;"Ruderverein der Jacob-Grimm Schule in Kassel e.V.";"RVJGS";"kassel";"grimm";2;"R";"K";49
120;15943;"Ruder AG Albert-Einstein-Gymnasium Sankt Augustin";"RAEG";"einstein";"sankt";2;"R";"K";49
121;50007;"Heidelberger Regatta.Vbd. als Schülerruderverband";"HRV";"Heidel";"schül";2;"H";"K";49
122;11239;"Eisenbahnsportverein Schmöckwitz e.V. Abt. Rudern";"ESV Schmöckwitz";"Schmöckwitz";;1;"E";"K";49
123;12411;"Rudervereinigung Kappeln im Turn- und Sportverein";"RVK";"Kappeln";;1;"R";"K";49
124;19715;"Allgemeiner AlsterClub/Norddeutscher Ruderer-Bund";"Alster-Club";"alster";"allge";2;"A";"K";49
125;12413;"Lübecker Frauen-Ruder- Gesellschaft von 1907 e.V.";"LFRG";"Lübeck";"Frau";2;"L";"K";49
126;11203;"Ruderriege des Akademischen Turnvereins zu Berlin";"ATVB";"Berlin";"riege";2;"R";"K";49
127;11011;"Heilbronner Rudergesellschaft 'Schwaben' von 1879";"HRGS";"schwaben";"heil";2;"H";"K";49
128;11635;"Limburger Club für Wassersport von 1895/1907 e.V.";"LCW";"Limburger";;1;"L";"K";49
129;11014;"Ruderverein 'Neptun' e.V. Konstanz gegründet 1885";"RVNK";"konst";"nept";2;"R";"K";49
130;19715;"Allgemeiner Alsterclub Norddeutscher Rudererbund";"Alster-Club";"nord";"bund";2;"A";"K";48
131;11017;"Mannheimer Rudergesellschaft Baden von 1880 e.V.";"MRG Baden";"Mannheim";"Baden";2;"M";"K";48
132;11853;"Sportvereinigung Scharnebeck e.V. Ruderabteilung";"SvgS";"Scharnebe";;1;"S";"K";48
133;11979;"Post und Telekom Sportgemeinschaft Lübbecke e.V.";"PTSGL";"Lübbecke";;1;"P";"K";48
134;11017;"Mannheimer Rudergesellschaft Baden von 1880 e.V.";"MRGB";"Mannheim";"Baden";2;"M";"K";48
135;11123;"Schweinfurter Ruder-Club 'Franken' von 1882 e.V.";"SRCF";"Schwein";;1;"S";"K";48
136;11135;"Würzburger Ruderverein Bayern von 1875\1905 e.V.";"WRVB";"Würzb";"bayer";2;"W";"K";48
137;15942;"Schülerruderriege an der Gesamtschule Neuss e.V.";"SRRGN";"neuss";"gesamt";2;"S";"K";48
138;11641;"Offenbacher Rudergesellschaft ""Undine"" 1876 e.V.";"ORGU";"off";"undi";2;"O";"K";48
139;12211;"Rudergesellschaft Wiking Leipzig im SC DHfK e.V.";"SCDHfKL";"Leipzig";"Wiking";2;"R";"K";48
