"PrimaryKey";"Verein_DRVID";"Verein";"Lettern";"Kurzident";"Kurzident2";"AnzahlKurzIdent";"ErstesVereinZeichen";"Knüpf";"Laenge"
551;15901;"SRC am Friedrich-Ebert-Gymnasium Bonn";"SRCFEGB";"bonn";"ebert";2;"S";"K";37
552;11701;"Wassersportverein Einheit Neustrelitz";"WSVN";"Neustrelitz";;1;"W";"K";37
553;12415;"Lübecker Ruder- Gesellschaft von 1885";"LRG";"Lübeck";"gesell";2;"L";"K";37
554;11802;"Ruderverein Bodenwerder von 1922 e.V.";"RVB";"Werder";"boden";2;"R";"K";37
555;30024;"Landesruderverband Schleswig-Holstein";"LRV";"Schleswig";"landes";2;"L";"K";37
556;11113;"Miltenberger Ruder-Club von 1900 e.V.";"MRC";"Miltenberg";;1;"M";"K";37
557;15824;"Ruderriege Grotefend-Gymnasium Münden";"RRGGM";"Münden";"groten";2;"R";"K";37
558;11204;"Ruder-Union Arkona Berlin  1879  e.V.";"RU Arkona";"Arkona";;1;"R";"K";37
559;11204;"Ruder-Union Arkona Berlin -1879- e.V.";"RUAB";"Arkona";;1;"R";"K";37
560;12213;"Meissner Ruderclub ""Neptun"" 1882 e.V.";"MRC";"meis";"nept";2;"M";"K";37
561;11128;"Akademischer  Ruderclub Würzburg e.V.";"ARCW";"Würzb";"akad";2;"A";"K";37
562;11234;"Rudergesellschaft Wiking e.V., Berlin";"RGWB";"berlin";"wiking";2;"R";"K";37
563;19724;"Ruderverband Schleswig-Holstein e. V.";"LRV SH";"Schleswig";"verband";2;"R";"K";37
564;11913;"Dormagener Ruder-Gesellschaft 'Bayer'";"DRG";"Dormagen";;1;"D";"K";37
565;11928;"Turnverein 1877 e.V. Essen-Kupferdreh";"RRTVKE";"Essen";"kupfer";2;"T";"K";37
566;11836;"Lüneburger Ruder-Club Wiking von 1875";"LRCW";"wiking";"lüne";2;"L";"K";37
567;11334;"Wassersportverein Königs Wusterhausen";"WSVKW";"Wusterhausen";"wasser";2;"W";"K";37
568;11615;"Ruderverbindung Rheno- Franconia e.V.";"RVRF";"Rheno";;1;"R";"K";37
569;11139;"Donau Ruder Club Deggendorf 2001 e.V.";"DRCD";"donau";"Degge";2;"D";"K";37
570;11330;"Sportverein Oderhort Frankfurt (Oder)";"SVO";"Frankfurt";"oderh";2;"S";"K";37
571;19724;"Ruderverband Schleswig-Holstein e. V.";"LRV";"Schleswig";"verband";2;"R";"K";37
572;11622;"Gießener Ruderclub ""Hassia"" 1906 e.V.";"GRCH";"Gießene";"hassia";2;"G";"K";37
573;11964;"Ruderclub Mülheim a. d. Ruhr von 1977";"RCM";"Mülheim";"club";2;"R";"K";37
574;11526;"Erster Coastal Ruderclub Hamburg e.V.";"ECRC Hamburg";"Hamburg";"costal";2;"E";"K";37
575;15604;"Schulsportzentrum Liebigschule Gießen";"SLG";"Gießene";"liebig";2;"S";"K";37
576;11652;"Wassersportverein Twistesee e.V. 1972";"WSVT";"Twistes";;1;"W";"K";37
577;12036;"Ruderverein Treviris 1921 e.V. Trier";"RVT";"Treviris";;1;"R";"K";36
578;11102;"Bamberger Rudergesellschaft von 1884";"BRG";"bamberg";;1;"B";"K";36
579;15823;"SRR des Ernst-Moritz-Arndt-Gymnasium";"EMAG";"Moritz";"arnd";2;"S";"K";36
580;15109;"SRR des Albrecht-Altdorfer Gymnasium";"SRRAAG";"srr";"Albrecht";2;"S";"K";36
581;11939;"Kettwiger Rudergesellschaft von 1906";"KRG";"Kettwiger";"1906";2;"K";"K";36
582;12406;"Rudergruppe Geesthacht von 1912 e.V.";"RGG";"Geestha";;1;"R";"K";36
583;15825;"SRR der Cäcilienschule Wilhelmshaven";"SRRCW";"Wilhelmshaven";"srr";2;"S";"K";36
584;11305;"Frankfurter Ruder-Club von 1882 e.V.";"FRC v.1882";"Frankfurt";"1882";2;"F";"K";36
585;30010;"Landesruderverband Baden-Württemberg";"LRVBW";"Württem";"landes";2;"L";"K";36
586;12415;"Lübecker Ruder-Gesellschaft von 1885";"LRG";"Lübeck";"gesell";2;"L";"K";36
587;15935;"SRV Friedrich-Wilhelm-Gymnasium Köln";"SRV am FWG";"Wilhelm";"köln";2;"S";"K";36
588;12210;"Ruderverein Triton 1893 e.V. Leipzig";"RVT";"Leipzig";"triton";2;"R";"K";36
589;11972;"Siegburger Ruderverein von e.V. 1910";"SRV";"Siegburger";;1;"S";"K";36
590;15921;"RR Mark am Helmholtz-Gymnasium Essen";"RRM";"mark";"helm";2;"R";"K";36
591;11612;"Ruder-Club Nassovia Höchst 1881 e.V.";"RCNH";"Frankfurt";"höchst";2;"R";"K";36
592;11932;"Rudergesellschaft Linden- Dahlhausen";"RGLD";"Linden";"dahlh";2;"R";"K";36
593;12411;"Rvg. Kappeln im Turn- und SV Kappeln";"RVK";"Kappeln";;1;"R";"K";36
594;15510;"BS Recycling- u. Umwelttechnik (G 8)";"BSRU";"Recycling";;1;"B";"K";36
595;11625;"Ruderclub Möve 1919 e.V. Grossauheim";"RCM";"Grossauh";;1;"R";"K";36
596;15213;"SRR Hermann-Ehlers-Oberschule Berlin";"SRRHEB";"berlin";"ehlers";2;"S";"K";36
597;11914;"Ruderclub Germania von 1929 Dortmund";"RCGDo";"german";"1929";2;"R";"K";36
598;11234;"Rudergesellschaft Wiking Berlin e.V.";"RGWB";"berlin";"wiking";2;"R";"K";36
599;11928;"Ruderriege TVK 1877 Essen-Kupferdreh";"RRTVKE";"Essen";"tvk";2;"R";"K";36
600;11623;"Wassersportverein Hellas 1920 Gießen";"WSVH";"hellas";"gie";2;"W";"K";36
601;11624;"Gießener Rudergesellschaft 1877 e.V.";"GRG";"Gießene";"gesellsch";2;"G";"K";36
602;11109;"Landshuter Ruderverein von 1952 e.V.";"LRV";"Landshute";;1;"L";"K";36
603;12021;"Mainzer Ruder-Gesellschaft 1898 e.V.";"MRG 1898";"Mainz";"gesell";2;"M";"K";36
604;12038;"Wormser Ruderclub Blau-Weiß von 1883";"WRC";"wormser";;1;"W";"K";36
605;11832;"RV für das Große Freie Lehrte/Sehnde";"RGF";"freie";"rv";2;"R";"K";36
606;30019;"Nordrhein-Westfälischer Ruderverband";"NWRV";"Nordrhein";"verband";2;"N";"K";36
607;11232;"Berliner Ruder-Club 'Welle-Poseidon'";"WePo";"berlin";"poseid";2;"B";"K";36
608;12213;"Meißner Ruderclub 'Neptun' 1882 e.V.";"MRC";"meis";"nept";2;"M";"K";36
609;11959;"Renn-Ruder-Gemeinschaft Mülheim Ruhr";"RRugmM";"Mülheim";"renn";2;"R";"K";36
610;11959;"Renn-Ruder-Gemeinschaft Mülheim e.V.";"RRGM";"Mülheim";"renn";2;"R";"K";36
611;11914;"Ruderclub Germania von 1929 Dortmund";"RCGDo";"german";"dortmu";2;"R";"K";36
612;11630;"Ruderclub Amicitia Bad Hersfeld e.V.";"RCAH";"hersf";"Ami";2;"R";"K";36
613;15936;"Ruder-Verein Pädagogium Godesberg 09";"RVPG";"Godesberg";"pädago";2;"R";"K";36
614;99135;"Beethoven-Gymnasium, Berlin-Lankwitz";;"berlin";"beethov";2;"B";"K";36
615;12021;"Mainzer Ruder-Gesellschaft 1898 e.V.";"MRG";"Mainz";"gesell";2;"M";"K";36
616;12032;"Wassersportverein St. Goar 1924 e.V.";"WSV St. Goar";"Goar";;1;"W";"K";36
617;12308;"Sportclub Magdeburg Abteilung Rudern";"SCM";"Magdeburg";"abteil";2;"S";"K";36
618;11110;"Lauinger Ruder- und Surfclub ""Donau""";"LRSC";"donau";"laui";2;"L";"K";36
619;12006;"Ruder- und Kanu-Verein Bad Kreuznach";"RKVBK";"Kreuznach";;1;"R";"K";36
620;11004;"Rudergesellschaft Eberbach 1899 e.V.";"RGE";"eberb";;1;"R";"K";36
621;12006;"Ruder- und Kanu-Verein Bad Kreuznach";"RKVK";"Kreuznach";;1;"R";"K";36
622;12401;"Eckernförder Ruderclub von 1924 e.V.";"ERC";"Eckernf";;1;"E";"K";36
623;11128;"Akademischer Ruderclub Würzburg e.V.";"ARCW";"Würzb";"akad";2;"A";"K";36
624;90008;"Bundesstützpunkt Ratzeburg / Hamburg";"BSPRH";"ratzebu";"bundes";2;"B";"K";36
625;11146;"Sport-Club Riederau 1976 Abt. Rudern";"SC Riederau Abt. Rudern";"Riederau";;1;"S";"K";36
626;99132;"Freiherr-vom-Stein-Gymnasium, Berlin";;"berlin";"stein";2;"F";"K";36
627;11301;"Ruderverein Fürstenberg/O. 1910 e.v.";"RVF";"Fürstenberg";;1;"R";"K";36
628;11981;"Förderv. für Freizeit u. Sport am KG";"FVKG";"Förderv";"sport";2;"F";"K";36
629;50012;"Schüler- u. Jugendverband im Bay. RV";"SJVB";"bayr";"jugend";2;"S";"K";36
630;15206;"Humboldt-Oberschule Gymnasium Berlin";"HOGB";"berlin";"humbold";2;"H";"K";36
631;12208;"Laubegaster Ruderverein Dresden e.V.";"LRVD";"laubegast";;1;"L";"K";36
632;99143;"Evangelische Schule Köpenick, Berlin";;"berlin";"evenagel";2;"E";"K";36
633;12210;"Ruderverein Triton 1896 Leipzig e.V.";"RVT";"Leipzig";"triton";2;"R";"K";36
634;15831;"Schülerruderriege Ernestinum Rinteln";"SRRE";"Rinteln";"ernest";2;"S";"K";36
635;11219;"Pichelsberger Rudergesellschaft 1914";"PRG";"Pichelsberge";;1;"P";"K";36
636;99132;"Freiherr-vom-Stein Gymnasium, Berlin";;"berlin";"stein";2;"F";"K";36
637;50009;"Schleswig-Holst. Ruderjugend im RVSH";"SHRJ";"Schleswig";"regga";2;"S";"K";36
638;12011;"Cochemer Rudergesellschaft 1905 e.V.";"CRG";"Cochemer";;1;"C";"K";36
639;11643;"Sportgemeinschaft 'Wiking' 1903 e.V.";"SGW";"wiking";"sport";2;"S";"K";36
640;12102;"Saarbrücker Rudergesellschaft Undine";"SRG";"undin";"saarb";2;"S";"K";36
641;11317;"Ruderclub Oberhavel Hennigsdorf e.V.";"RCO";"ennigsdorf";;1;"R";"K";36
642;11029;"Stuttgart Cannstatter Ruderclub 1910";"StCRC";"Cannst";;1;"S";"K";36
643;12304;"Tangermünder Ruderclub von 1906 e.V.";"TRC";"Tangerm";;1;"T";"K";36
644;11975;"Sportgemeinschaft DEMAG e.V.  Wetter";"SGD";"DEMAG";;1;"S";"K";36
645;11801;"Wassersportverein Altwarmbüchen e.V.";"WSVA";"Altwarmbü";;1;"W";"K";36
646;11117;"Rudergesellschaft München 1972 e.V.";"RGM 72";"München";"1972";2;"R";"K";35
647;11117;"Rudergesellschaft München 1972 e.V.";"RGM";"München";"1972";2;"R";"K";35
648;11242;"Ruder-Club Rahnsdorf Luftfahrt e.V.";"RCR";"Rahnsdorf";;1;"R";"K";35
649;11204;"Ruder-Union Arkona Berlin 1879 e.V.";"RU Arkona";"Arkona";;1;"R";"K";35
650;15941;"Ruderriege am Städt. Gymnasium Olpe";"RRSGO";"olpe";"gymn";2;"R";"K";35
651;99217;"TJ Lodní Sporty Brno Czech Republic";"TJL";"Czech Rep";;2;"T";"K";35
652;12219;"Rudergemeinschaft Sachsen 1993 e.V.";"RugmS";"Sachsen";"gemein";2;"R";"K";35
653;11934;"Ruderclub ""Westfalen"" Herdecke 1929";"RCWH";"westfal";"herd";2;"R";"K";35
654;11103;"Deggendorfer Ruder-Verein 1876 e.V.";"DRV";"Deggend";"ver";2;"D";"K";35
655;16420;"Friedrich Schiller Gymnasium Preetz";"FSGP";"Preetz";;1;"F";"K";35
656;15829;"Ruderriege Ratsgymnasium Stadthagen";"RRRGS";"Stadtha";;1;"R";"K";35
657;12411;"Rvg. Kappeln im Turn- und SV Kappel";"RVK";"Kappeln";;1;"R";"K";35
658;16430;"Ruderriege Ricarda-Huch Schule Kiel";"SRRRHK";"Kiel";"ricard";2;"R";"K";35
659;11816;"Ruderverein 'Weser' von 1885 Hameln";"RVW";"weser";"hame";2;"R";"K";35
660;15912;"RR Immanuel-Kant-Gymnasium  Münster";"RRIKGM";"Münster";"kant";2;"R";"K";35
661;11955;"Ruder-Club Marl im VfB 1948/64 Hüls";"RCM";"Marl";"hüls";2;"R";"K";35
662;11934;"Ruderclub 'Westfalen' 1929 Herdecke";"RCWH";"westfal";"herd";2;"R";"K";35
663;11647;"Rudergesellschaft Wetzlar 1880 e.V.";"RGW";"Wetzlar";"gesell";2;"R";"K";35
664;15608;"TRV Albert-Schweitzer-Schule Kassel";"TRVASS";"kassel";"schweitz";2;"T";"K";35
665;11943;"Club für Wassersport Porz e.V. 1926";"CFWP";"Porz";;1;"C";"K";35
666;11655;"Rudern und Sport Steinmühle Marburg";"RuSStm";"Steinm";"rudern";2;"R";"K";35
667;15939;"RR des Kardinal von Galen Gymnasium";"RRKGG";"galen";"gymn";2;"R";"K";35
668;15813;"RuderVerein Humboldtschule Hannover";"RVHH";"Hannov";"humbo";2;"R";"K";35
669;11038;"Rudergesellschaft Wertheim von 1902";"RGW";"Werth";;1;"R";"K";35
670;99223;"Europa-Universität Frankfurt (Oder)";"EUF";"Frankfurt";"europa";2;"E";"K";35
671;12317;"Ruderclub Alt-Werder Magdeburg 1887";"RCAW";"Werder";"magde";2;"R";"K";35
672;11309;"Ruderverein Sparta Klein Köris e.V.";"RVSKK";"köris";;1;"R";"K";35
673;11403;"Bremer Sport-Club  - Ruderabteilung";"BSC";"bremer";"club";2;"B";"K";35
674;12402;"Elmshorner Ruder-Club von 1909 e.V.";"ERC";"Elmshor";;1;"E";"K";35
675;12034;"Rudergesellschaft Treis-Karden 1969";"RGTK";"Karden";;1;"R";"K";35
676;11930;"Ruderverein Gelsenkirchen 1920 e.V.";"RVG";"Gelsenkirchen";;1;"R";"K";35
677;99133;"Lobensteiner Ruder-Verein 1932 e.V.";;"Lobenst";;1;"L";"K";35
678;11941;"Ruder- u. Tennis-Klub GERMANIA Köln";"RTK Germania";"köln";"german";2;"R";"K";35
679;11518;"Ruderverein an den Teichwiesen e.V.";"RVT";"teichwies";;1;"R";"K";35
680;11858;"Wassersportverein Wildeshausen e.V.";"WSVW";"Wildeshausen";;1;"W";"K";35
681;99964;"Wloclawskie Towarzystwo Wioslarskie";;"wskie";;1;"R";"K";35
682;11236;"Versehrten-Wassersport-Gemeinschaft";"VWG";"Versehrten";;1;"V";"K";35
683;11834;"Lingener Rudergesellschaft von 1923";"LRG";"Lingen";"1923";2;"L";"K";35
684;11510;"Hammerdeicher Ruder-Verein von 1893";"HRV";"hAmmer";"rv";2;"H";"K";35
685;11960;"Wassersportverein Mülheim-Ruhr e.V.";"WSVM";"Mülheim";"wasser";2;"W";"K";35
686;11502;"Alster-Ruderverein Hanseat von 1925";"ARVH";"Hanseat";;1;"A";"K";35
687;11635;"Limburger Club für Wassersport 1895";"LCW";"Limburger";;1;"L";"K";35
688;11960;"Wassersportverein Mülheim-Ruhr e.V.";"WSVMR";"Mülheim";"wasser";2;"W";"K";35
689;11627;"Hanauer Rudergesellschaft 1879 e.V.";"HRG";"Hanau";"gesell";2;"H";"K";35
690;11249;"Sportclub Berlin-Grünau Abt. Rudern";"SCBG";"berlin";"Grün";2;"S";"K";35
691;40027;"Sächsischer Elbe-Regattaverein e.V.";"SERV";"regatt";"elbe";2;"S";"K";35
692;12212;"Akademischer Ruderverein zu Leipzig";"ARVL";"Leipzig";"akad";2;"A";"K";35
693;11839;"Nordenhamer Ruderclub von 1908 e.V.";"NRC";"Nordenha";;1;"N";"K";35
694;99961;"Akademicki Zwiazek Sportowy Szcecin";;"Zwiazek";;1;"R";"K";35
695;15215;"Lili-Braun-Oberschule (Gymn) Berlin";"LBO B";"berlin";"braun";2;"L";"K";35
696;30013;"Landesruderverband Brandenburg e.V.";"LRVB";"Brandenb";"landes";2;"L";"K";35
697;12308;"SC Magdeburg e.V., Abteilung Rudern";"SCM";"Magdeburg";"sc";2;"S";"K";35
698;60018;"Hochschulsport Universität Tübingen";"UniTü";"tübing";"uni";2;"H";"K";35
699;11938;"Homberger Ruderklub ""Germania"" e.V.";"HRK";"Homberg";"german";2;"H";"K";35
700;11020;"Volkstümlicher Wassersport Mannheim";"VWM";"Mannheim";"volks";2;"V";"K";35
701;11108;"Kitzinger Ruderverein von 1897 e.V.";"KRV";"Kitzing";;1;"K";"K";35
702;16416;"Kieler Gymnasial RV Teifun von 1883";"KGRVT";"Kiel";"teif";2;"K";"K";35
703;11527;"SV Grün-Weiss Harburg von 1920 e.V.";"GWH";"harburg";"grün";2;"S";"K";35
704;50006;"Schüler-Ruder-Verband Niedersachsen";"SRVN";"Sachsen";"schüler";2;"S";"K";35
705;12319;"Weißenfelser Ruder-Verein 1884 e.V.";"WRV";"Weißenf";;1;"W";"K";35
706;11124;"Straubinger Ruderclub von 1881 e.V.";"StRC";"Straub";;1;"S";"K";35
707;11012;"Karlsruher Rheinklub Alemannia e.V.";"KRA";"karls";"Alemanni";2;"K";"K";35
708;11822;"Akademische Turnverbindung Hannover";"ATVH";"Hannov";"turn";2;"A";"K";35
709;11213;"Spandauer Ruder-Club ""Friesen"" e.V.";"SRCF";"Friesen";;1;"S";"K";35
710;11818;"Deutscher  Ruder-Club von 1884 e.V.";"DRC";"Deutscher";"Club";2;"D";"K";35
711;11636;"Marburger Ruderverein von 1911 e.V.";"MRV";"Marburger";;1;"M";"K";35
712;11901;"Yacht- und Ruderclub Attendorn e.V.";"YRCA";"Attendorn";;1;"Y";"K";35
713;11021;"Marbacher Ruderverein von 1920 e.V.";"MRV20";"Marb";"rv";2;"M";"K";35
714;11714;"Greifswalder Ruderclub ""Hilda"" 1892";"GRCH";"Hilda";;1;"G";"K";35
715;12322;"Goitzsche Ruderclub Bitterfeld e.V.";"GRCB";"Goitz";;1;"G";"K";35
716;11021;"Marbacher Ruderverein von 1920 e.V.";"MRV";"Marb";"rv";2;"M";"K";35
717;16414;"SRR Leibniz-Gymnasium Bad Schwartau";"SRRLG";"schwarta";"gymna";2;"S";"K";35
718;11957;"Mindener Ruder-Verein von 1905 e.V.";"MRV";"Mindener";"verein";2;"M";"K";35
719;11622;"Gießener Ruderclub Hassia 1906 e.V.";"GRCH";"Gießene";"hassia";2;"G";"K";35
720;11836;"Lüneburger Ruder-Club Wiking v.1875";"LRC Wiking";"wiking";"lüne";2;"L";"K";35
721;11835;"Lüneburger Ruder-Club von 1875 e.V.";"LRC";"Lüneburger";"1875";2;"L";"K";35
722;12018;"Ludwigshafener Ruderverein von 1878";"LRV";"Ludwigshafen";"verein";2;"L";"K";35
723;11909;"Wassersportverein Godesberg 1909/11";"WSVG";"verein Godesb";"wasser";2;"W";"K";35
724;15513;"SRR der Stadtteilschule Kirchwerder";"SRR der Stadtteilschule Kirchwerder";"Werder";"kirch";2;"S";"K";35
725;11616;"Frankfurter Ruder Club v. 1882 e.V.";"FRC 84";"Frankfurt";"1882";2;"F";"K";35
726;11714;"Greifswalder Ruderclub 'Hilda' 1892";"GRCH";"Hilda";;1;"G";"K";35
727;11018;"Mannheimer Ruder-Club von 1875 e.V.";"MRC";"Mannheim";"club";2;"M";"K";35
728;11865;"Wassersportverein Innerstetalsperre";"WSVI";"Innerstetalsperre";;1;"W";"K";35
729;11118;"Ruderverein Nürnberg von 1880 e.V.";"RVN";"Nürnb";"verein";2;"R";"K";34
730;11819;"1. Frauen-Ruder-Club Hannover 1928";"FRCH";"Hannov";"frau";2;"1";"K";34
731;11946;"Kölner Rudergesellschaft 1891 e.V.";"KRG";"Kölner";"1891";2;"K";"K";34
732;11325;"Ruderclub Königs Wusterhausen e.V.";"RCKW";"Wusterhausen";"club";2;"R";"K";34
733;11917;"Ruderclub Germania Düsseldorf 1904";"RCGD";"germani";"düssel";2;"R";"K";34
734;11014;"Ruderverein 'Neptun' e.V. Konstanz";"Neptun Konstanz";"konst";"nept";2;"R";"K";34
735;11848;"Ruderclub Carolinum Osnabrück e.V.";"RCCO";"Osnabrück";"caro";2;"R";"K";34
736;11016;"Mannheimer Ruder-Verein ""Amicitia""";"MRV Amicitia";"Mannheim";"Ami";2;"M";"K";34
737;12001;"Ruderverein Rhenus e.V.  Andernach";"RVRA";"Rhenus";"anderna";2;"R";"K";34
738;11631;"Casseler Frauen- Ruder-Verein e.V.";"CFRV";"Cassele";;1;"C";"K";34
739;40023;"Kettwiger Ruder-Regattaverein e.V.";"KRRV";"Kettwiger";"verein";2;"K";"K";34
740;15828;"Ruderteam am Gymnasium Bersenbrück";"RTGB";"Bersenb";;1;"R";"K";34
741;12321;"Ruderriege Havelberg von 1909 e.V.";"RHV";"Havelb";"1909";2;"R";"K";34
742;11926;"Essen-Werdener Ruder-Club von 1896";"EWRC";"Essen";"werden";2;"E";"K";34
743;11304;"Rüdersdorfer Ruderverein Kalkberge";"RRVK";"Kalk";;1;"R";"K";34
744;11227;"Ruderverein 'Vorwärts' Berlin e.V.";"RVVB";"Berlin";"vorwär";2;"R";"K";34
745;11602;"Ruder-Club ""Neptun"" e.V. Darmstadt";"RCN";"darm";"nept";2;"R";"K";34
746;11818;"Deutscher Ruder-Club von 1884 e.V.";"DRC";"Deutscher";"1884";2;"D";"K";34
747;40025;"Olympia-Regattaverein München e.V.";"ORM";"München";"olympi";2;"O";"K";34
748;11115;"Münchener Ruder-Club von 1880 e.V.";"MRC";"München";"Club";2;"M";"K";34
749;11115;"Münchener Ruder-Club von 1880 e.V.";"MRC 1880";"München";"Club";2;"M";"K";34
750;12031;"Rudergesellschaft Speyer 1883 e.V.";"RGS";"Speyer";;1;"R";"K";34
751;11904;"Ruderverein Blankenstein-Ruhr e.V.";"RVB";"Blankenstein";;1;"R";"K";34
752;11633;"Rudergesellschaft Kassel 1927 e.V.";"RGK";"kassel";"gesellsc";2;"R";"K";34
753;11307;"Ruder-Klub Werder (Havel) von 1918";"RKW";"Werder";"klub";2;"R";"K";34
754;11921;"Duisburger Ruderverein (1897/1910)";"DuiRV";"Duisburger";;1;"D";"K";34
755;11302;"Prenzlauer Sportverein 'Uckermark'";"PSV";"mark";"prenz";2;"P";"K";34
756;12301;"Merseburger Rudergesellschaft e.V.";"MRG";"Merseburger";;1;"M";"K";34
757;11328;"ESV Lok Zernsdorf e.V. Abt. Rudern";"ESVLZ";"Zernsdorf";;1;"E";"K";34
758;12424;"Segeberger Ruderclub von 1926 e.V.";"SRC";"Segebe";"1926";2;"S";"K";34
759;11918;"Düsseldorfer Ruderverein 1880 e.V.";"DRV 1880";"düssel";"1880";2;"D";"K";34
760;11222;"Potsdamer Ruder-Club Germania e.V.";"PRCG";"potsda";"germa";2;"P";"K";34
761;15621;"SRR Gymnasium Philippinum Weilburg";"SRRGPW";"Weilburg";"philipp";2;"S";"K";34
762;11818;"Deutscher Ruder-Club 1884 Hannover";"RCDRC";"Hannov";"deutsch";2;"D";"K";34
763;15607;"Ruderverein Goethegymnasium Kassel";"RVGG";"Kassel";"verein";2;"R";"K";34
764;99137;"Bollhagen Gymnasium Velten, Berlin";;"berlin";"bollhag";2;"B";"K";34
765;11120;"Passauer Ruderverein von 1874 e.V.";"PRV";"Passau";"verein";2;"P";"K";34
766;11117;"Rudergesellschaft München von 1972";"RGM";"München";"1972";2;"R";"K";34
767;40001;"Rgv. Ems Jade Weser Team Nord West";"RVEJW";"Jade";"rv";2;"R";"K";34
768;11983;"Ruderverein Lüdinghausen 1925 e.V.";"RVLH";"Lüdinghausen";;1;"R";"K";34
769;11643;"Sportgemeinschaft Wiking 1903 e.V.";"SGW";"wiking";"sport";2;"S";"K";34
770;11222;"Potsdamer Ruder Club Germania e.V.";"PRCG";"Potsdamer";"club";2;"P";"K";34
771;11715;"Ribnitzer Sportverein 1919 e.V. RA";"RSV";"Ribnitz";;1;"R";"K";34
772;16413;"RR Christian-Timm-Schule Rendsburg";"RRCTSR";"Rendsburg";;2;"R";"K";34
773;15912;"RR Immanuel-Kant-Gymnasium Münster";"RRIKGM";"Münster";"kant";2;"R";"K";34
774;11716;"Sana-Sport-Gemeinschaft Rügen e.V.";"SSGR";"Rügen";;1;"S";"K";34
775;15943;"Ruder AG Albert-Einstein-Gymnasium";"RAEG";"einstein";"gymn";2;"R";"K";34
776;40008;"Hannoverscher Regatta-Verband e.V.";"HRV";"Hannov";"reg";2;"H";"K";34
777;11504;"Ruder-Vereinigung ""Bille"" von 1896";"RVB";"bille";"verein";2;"R";"K";34
778;11520;"Wilhelmsburger Ruder Club von 1895";"WRC";"Wilhelmsburger";;1;"W";"K";34
779;90016;"Bundesstützpunkt Nachwuchs Ulm/Süd";"BSTU";"ulm";"Bundes";2;"B";"K";34
780;11961;"Akademischer Ruder-Club zu Münster";"ARCM";"Münster";"akad";2;"A";"K";34
781;12415;"Lübecker Ruder-Gesellschaft v 1885";"LRG";"Lübeck";"gesell";2;"L";"K";34
782;11405;"Bremerhavener-Ruderverein von 1889";"BHVRV";"bremerhaven";;1;"B";"K";34
783;12002;"Bacharacher Ruder-Verein 1884 e.V.";"BRV";"Bacharach";;1;"B";"K";34
784;11859;"Wilhelmshavener Ruderclub von 1909";"WRC";"Wilhelmshaven";"1909";2;"W";"K";34
785;11405;"Bremerhavener Ruderverein von 1889";"BHRV";"bremerhaven";;1;"B";"K";34
786;15829;"RR Ruderriege Ratsgymn. Stadthagen";"RRRGS";"Stadtha";;1;"R";"K";34
787;12012;"Frankenthaler Ruderverein von 1895";"FRV";"Frankenthale";;1;"F";"K";34
788;11517;"Hamburger Ruderinnen-Club von 1925";"HRC";"Hamburg";"ruderinnen";2;"H";"K";34
789;15939;"RR des Kardinal v. Galen Gymnasium";"RRKGG";"galen";"gymn";2;"R";"K";34
790;12008;"Binger Rudergesellschaft 1911 e.V.";"BRG";"Binger";;1;"B";"K";34
791;11715;"Ribnitzer SV 1919 Abteilung Rudern";"RSV";"Ribnitz";;1;"R";"K";34
792;12405;"Friedrichstädter Rudergesellschaft";"FRG";"Friedrichstädt";;1;"F";"K";34
793;11223;"Ruder-Vereinigung Preußen Saffonia";"RVPS";"Preuß";"verein";2;"R";"K";34
794;90002;"Bundesstützpunkt Nachwuchs Potsdam";"BSPNP";"Potsdam";"bundes";2;"B";"K";34
795;11240;"Friedrichshagener Ruderverein e.V.";"FRV";"riedrichshag";;1;"F";"K";34
796;90012;"Bundesstützpunkt Ratzeburg/Hamburg";"BSPRH";"ratzebu";"bundes";2;"B";"K";34
797;11906;"Akademischer Ruderclub Rhenus Bonn";"ARC";"Rhenus";"akad";2;"A";"K";34
798;11706;"Rostocker Ruder-Club von 1885 e.V.";"RRC";"Rostock";"club";2;"R";"K";34
799;12407;"Akademischer Ruderverein e.V. Kiel";"ARV";"Kiel";"akad";2;"A";"K";34
800;16411;"RR am Helene-Lange-Gymn. Rendsburg";"RRHLG";"Rendsburg";"hele";2;"R";"K";34
801;11712;"Verein für Leibesübungen Bergen 94";"VLB";"Bergen";"leib";2;"V";"K";34
802;40001;"RV Ems-Jade-Weser / Team Nord West";"Team Nord West";"Jade";"rv";2;"R";"K";34
803;16424;"Schüler Ruder- u. Segelverein Plön";"SRSVP";"plön";"segel";2;"S";"K";34
804;12007;"Bernkasteler Ruderverein 1874 e.V.";"BRV";"Bernkasteler";;1;"B";"K";34
805;11244;"Rudergemeinschaft Rotation Berlin";"RGRB";"berlin";"rota";2;"R";"K";33
806;12412;"Ruder-Gesellschaft Lauenburg e.V.";"RGL";"Lauenb";"gesell";2;"R";"K";33
807;11864;"Argonauten Ruderclub e. V. Meppen";"ARCM";"Argonaute";"mep";2;"A";"K";33
808;11912;"Ruderverein Datteln von 1928 e.V.";"RVDat";"Datteln";;1;"R";"K";33
809;11034;"Überlinger Ruderclub 'Bodan' e.V.";"ÜRCB";"bodan";;1;"Ü";"K";33
810;12024;"Neuwieder Ruder-Gesellschaft 1883";"NRG";"Neuwieder";"gesell";2;"N";"K";33
