ID_MSACCESS;Datum;Regatta;Jahr;Wasser-Ergo;Original-Reg-Text;Bermerkung;Saison;Oeffentlich;Zeitformat;Zwischenzeiten;MasterID;EnemyMine;use;2ter_Durchlauf;PDFForm;anlegeDatum
16;03.04.2022;LeipzigLS5Apr2022;2022;Rudern;Leipzig LS 5Apr2022;6000;22;1;MM:SS;ja;ja;ja;ja;;;
17;04.04.2023;LeipzigLS4Apr2023;2023;Rudern;Leipzig LS 4Apr2023;6000;23;1;MM:SS;ja;ja;ja;ja;;;
18;08.04.2018;LeipzigLS8Apr2018;2018;Rudern;Ls Leipzig 8Apr2018;6000;18;1;MM:SS;ja;ja;ja;;;;
19;02.04.2017;LeipzigLS2Apr2017;2017;Rudern;Leipzig LS 2Apr2017;6000;17;1;MM:SS;ja;ja;ja;;;;
20;29.03.2015;LeipzigLS29Mrz2015;2015;Rudern;Leipzig LS 30Mrz2015;6000;15;1;MM:SS;ja;ja;ja;;;;
21;02.09.2007;LimburgSep2007;2007;Rudern;LimburgSep2007;500;07;1;;;ja;ja;;;;
22;07.04.2024;LeipzigLS7Apr2024;2024;Rudern;LSLEIPZIG_7Apr2024;6000;24;1;MM:SS;ja;ja;ja;ja;;;
23;02.12.2023;DortErg3Dez2023;2023;Erg;ERGO Dortmund 2Dez2023;;23/24;1;;;ja;ja;ja;;;
24;23.04.2023;Schoko41_23Apr2023;2023;Rudern;Oberrheinische Frühregatta 23Apr2023;3000/1500/1000;23;1;MM:SS.ZZ;;ja;ja;;;;
25;20.04.2024;Schoko42_21Apr2024;2024;Rudern ME;Oberrheinische Frühregatta 15Apr2024 ME;3000/1500/1000;24;1;;Nein;ja;ja;;;;
26;20.04.2024;Münster21Apr2024;2024;Rudern ME;52._Münster_21Apr2024;;24;1;;Nein;ja;ja;;;;
27;21.04.2024;BerlinFrühReg21Apr2024;2024;Rudern;BerlinFrühReg21Apr2024;;24;1;;Nein;ja;ja;;;;
28;05.05.2024;München_Junior5Mai2024;2024;Rudern;München_Junior5Mai2024;;24;1;;Ja;ja;ja;;;;
30;19.05.2024;Brand19Mai2024;2024;Rudern;Brand19Mai2024;;24;1;;nein;ja;ja;;;;
31;28.04.2024;Luebeck28Apr2024;2024;Rudern;Luebeck28Apr2024;300/500/1000/3000;24;1;;nein;ja;ja;;;;
32;14.04.2024;LSTeichwiesen14Apr2024;2024;Rudern;LSTeichwiesen14Apr2024;;24;1;;;;;;;;
33;02.06.2024;BerlinerSommer2Jun2024;2024;Rudern;BerlinerSommer2Jun2024;;24;1;;;ja;ja;;;;
34;30.06.2024;Bürgel30Jun2024;2024;Rudern;Bürgel30Jun2024;500;24;1;MM:SS.ZZ;nein;ja;ja;;;;
35;02.07.2023;KinderBW2Jul2023;2023;Rudern;KinderBW2Jul2023;3000/1000;23;1;;;ja;ja;;;;
36;23.06.2024;DJMEssen23Jun2024;2024;Rudern;DJMEssen23Jun2024;1500/2000;24;1;;;ja;ja;;;;
37;16.06.2024;Lobenstein16Jun2024;2024;Rudern;Lobenstein16Jun2024;1000;24;1;MM:SS.ZZ;nein;ja;ja;;;;
38;14.07.2024;WerderDM14Jul2024;2024;Rudern;WerderDM14Jul2024;1000;24;1;MM:SS.ZZ;nein;ja;ja;;;;
39;14.07.2024;WerderMM14Jul2024;2024;Rudern;WerderMasters14Jul2024;1000;24;1;MM:SS.ZZ;nein;ja;ja;;;;
40;30.06.2024;KinderBW30Jun2024;2024;Rudern;KinderBW30Jun2024;3000/1000;24;1;MM:SS.ZZ;nein;ja;ja;;;;
41;16.12.2006;Ergo2006Berlin;2006;Erg;Ergo2006Berlin;2000;06;1;MM:SS,ZZ;ja;ja;ja;;;;
42;13.12.2003;ErgoBerlin2003;2003;Erg;ErgoBerlin2003;;03;1;0M:SS,Z;ja;ja;ja;;;;
43;13.12.2008;BerlinErg2008;2008;Erg;BerlinErg2008;;08;1;MM:SS,ZZ;ja;ja;ja;;;;
45;03.12.2005;HHERG2005;2005;Erg;HHERG2005/;;04/05;1;MM:SS,Z;ja;ja;ja;;;;
