"MasterID";"ErgZeiOrig";"WorldTyp";"Regatta";"WoFISARegat";"WBJahr";"WBZeitopen";"WBZeitZehntopen";"LandderMannschaft";"WBMannschaft";"RennTyp";"RenntypTrefferID";"U19U23openPR";"WorldBestU1923";"WorldBestU1923Zehntel";"WorldopenMasterID"
204061;"U19 World Champ' Best: GRE DALIDOU Sofia / NATSIOULA Styliani Varese (ITA) 2022 World Championships 6:57.40";"U19WorldBest";"JWM_Trakai_25_ALL";"Varese (ITA) 2022 World Championships";"2022";"6:37.31";"39731";"GRE";"DALIDOU Sofia / NATSIOULA Styliani";"JW 2x";33;"U19";"6:57.40";41740;204060
204062;"World Champion: GRE LIOLIOU Gavriela / LYKOMITROU Varvara St. Catharines (CAN) 2024 World Championships 7:39.90";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"GRE";"LIOLIOU Gavriela / LYKOMITROU Varvara";"JW 2x";33;;;0;0
204091;"World Best: AUS ALDERSEY Olympia / KEHOE Sally Amsterdam (NED) 2014 World Championships 6:37.31";"WorldBest";"JWM_Trakai_25_ALL";"Amsterdam (NED) 2014 World Championships";"2014";"6:37.31";"39731";"AUS";"ALDERSEY Olympia / KEHOE Sally";"JW 2x";33;"open";;0;0
204092;"U19 World Champ' Best: GRE DALIDOU Sofia / NATSIOULA Styliani Varese (ITA) 2022 World Championships 6:57.40";"U19WorldBest";"JWM_Trakai_25_ALL";"Varese (ITA) 2022 World Championships";"2022";"6:37.31";"39731";"GRE";"DALIDOU Sofia / NATSIOULA Styliani";"JW 2x";33;"U19";"6:57.40";41740;204091
204093;"World Champion: GRE LIOLIOU Gavriela / LYKOMITROU Varvara St. Catharines (CAN) 2024 World Championships 7:39.90";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"GRE";"LIOLIOU Gavriela / LYKOMITROU Varvara";"JW 2x";33;;;0;0
204122;"World Best: NZL PRATT K. / BEVAN K. / PRENDERGAST G. / WILLIAMS K. Amsterdam (NED) 2014 World Championships 6:14.36";"WorldBest";"JWM_Trakai_25_ALL";"Amsterdam (NED) 2014 World Championships";"2014";"6:14.36";"37436";"NZL";"PRATT K. / BEVAN K. / PRENDERGAST G. / WILLIAMS K.";"JW 4-";40;"open";;0;0
204123;"U19 World Champ' Best: ITA SCIATTELLA G. / MONACI L. / PAHOR B. / GRISONI E. Varese (ITA) 2022 World Championships 6:32.76";"U19WorldBest";"JWM_Trakai_25_ALL";"Varese (ITA) 2022 World Championships";"2022";"6:14.36";"37436";"ITA";"SCIATTELLA G. / MONACI L. / PAHOR B. / GRISONI E.";"JW 4-";40;"U19";"6:32.76";39276;204122
204124;"World Champion: ROU SCUTARU I. / FLOREA A. / OLARIU S / DRAGHICI BE St. Catharines (CAN) 2024 World Championships 7:06.42";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"ROU";"SCUTARU I. / FLOREA A. / OLARIU S / DRAGHICI BE";"JW 4-";40;;;0;0
204160;"World Best: GBR GREGORY A. / REED P. / JAMES T. / HODGE A. Lucerne (SUI) 2012 World Cup 5:37.86";"WorldBest";"JWM_Trakai_25_ALL";"Lucerne (SUI) 2012 World Cup";"2012";"5:37.86";"33786";"GBR";"GREGORY A. / REED P. / JAMES T. / HODGE A.";"JM 4-";87;"open";;0;0
204161;"U19 World Champ' Best: GBR DALTON M. / de GRAAF D. / TARCZY C. / DARLOW T. Racice (CZE) 2018 World Championships 5:47.73";"U19WorldBest";"JWM_Trakai_25_ALL";"Racice (CZE) 2018 World Championships";"2018";"5:37.86";"33786";"GBR";"DALTON M. / de GRAAF D. / TARCZY C. / DARLOW T.";"JM 4-";87;"U19";"5:47.73";34773;204160
204162;"World Champion: ITA SOSTEGNI L. / CASSINA L. / BANCORA F. / PAOLI G. St. Catharines (CAN) 2024 World Championships 6:23.61";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"ITA";"SOSTEGNI L. / CASSINA L. / BANCORA F. / PAOLI G.";"JM 4-";87;;;0;0
204198;"World Best: NZL PRATT K. / BEVAN K. / PRENDERGAST G. / WILLIAMS K. Amsterdam (NED) 2014 World Championships 6:14.36";"WorldBest";"JWM_Trakai_25_ALL";"Amsterdam (NED) 2014 World Championships";"2014";"6:14.36";"37436";"NZL";"PRATT K. / BEVAN K. / PRENDERGAST G. / WILLIAMS K.";"JW 4-";40;"open";;0;0
204199;"U19 World Champ' Best: ITA SCIATTELLA G. / MONACI L. / PAHOR B. / GRISONI E. Varese (ITA) 2022 World Championships 6:32.76";"U19WorldBest";"JWM_Trakai_25_ALL";"Varese (ITA) 2022 World Championships";"2022";"6:14.36";"37436";"ITA";"SCIATTELLA G. / MONACI L. / PAHOR B. / GRISONI E.";"JW 4-";40;"U19";"6:32.76";39276;204198
