"MasterID";"ErgZeiOrig";"WorldTyp";"Regatta";"WoFISARegat";"WBJahr";"WBZeitopen";"WBZeitZehntopen";"LandderMannschaft";"WBMannschaft";"RennTyp";"RenntypTrefferID";"U19U23openPR";"WorldBestU1923";"WorldBestU1923Zehntel";"WorldopenMasterID"
203489;"U19 World Champ' Best: GRE GKAIDATZIS Petros / SCHIZODIMOS Grigorios Racice (CZE) 2018 World Championships 6:18.19";"U19WorldBest";"JWM_Trakai_25_ALL";"Racice (CZE) 2018 World Championships";"2018";"5:59.72";"35972";"GRE";"GKAIDATZIS Petros / SCHIZODIMOS Grigorios";"JM 2x";80;"U19";"6:18.19";37819;203488
203490;"World Champion: GRE GIANNOULIS Konstantinos / CHOLOPOULOS Nikolaos St. Catharines (CAN) 2024 World Championships 6:50.18";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"GRE";"GIANNOULIS Konstantinos / CHOLOPOULOS Nikolaos";"JM 2x";80;;;0;0
203516;"World Best: GBR GREGORY A. / REED P. / JAMES T. / HODGE A. Lucerne (SUI) 2012 World Cup 5:37.86";"WorldBest";"JWM_Trakai_25_ALL";"Lucerne (SUI) 2012 World Cup";"2012";"5:37.86";"33786";"GBR";"GREGORY A. / REED P. / JAMES T. / HODGE A.";"JM 4-";87;"open";;0;0
203517;"U19 World Champ' Best: GBR DALTON M. / de GRAAF D. / TARCZY C. / DARLOW T. Racice (CZE) 2018 World Championships 5:47.73";"U19WorldBest";"JWM_Trakai_25_ALL";"Racice (CZE) 2018 World Championships";"2018";"5:37.86";"33786";"GBR";"DALTON M. / de GRAAF D. / TARCZY C. / DARLOW T.";"JM 4-";87;"U19";"5:47.73";34773;203516
203518;"World Champion: ITA SOSTEGNI L. / CASSINA L. / BANCORA F. / PAOLI G. St. Catharines (CAN) 2024 World Championships 6:23.61";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"ITA";"SOSTEGNI L. / CASSINA L. / BANCORA F. / PAOLI G.";"JM 4-";87;;;0;0
203554;"World Best: GBR GREGORY A. / REED P. / JAMES T. / HODGE A. Lucerne (SUI) 2012 World Cup 5:37.86";"WorldBest";"JWM_Trakai_25_ALL";"Lucerne (SUI) 2012 World Cup";"2012";"5:37.86";"33786";"GBR";"GREGORY A. / REED P. / JAMES T. / HODGE A.";"JM 4-";87;"open";;0;0
203555;"U19 World Champ' Best: GBR DALTON M. / de GRAAF D. / TARCZY C. / DARLOW T. Racice (CZE) 2018 World Championships 5:47.73";"U19WorldBest";"JWM_Trakai_25_ALL";"Racice (CZE) 2018 World Championships";"2018";"5:37.86";"33786";"GBR";"DALTON M. / de GRAAF D. / TARCZY C. / DARLOW T.";"JM 4-";87;"U19";"5:47.73";34773;203554
203556;"World Champion: ITA SOSTEGNI L. / CASSINA L. / BANCORA F. / PAOLI G. St. Catharines (CAN) 2024 World Championships 6:23.61";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"ITA";"SOSTEGNI L. / CASSINA L. / BANCORA F. / PAOLI G.";"JM 4-";87;;;0;0
203584;"World Best: NED UITTENBOGAARD L. / WIERSMA A. / WIETEN T. / METSEMAKERS K. Tokyo (JPN) 2021 Olympic Games 5:32.03";"WorldBest";"JWM_Trakai_25_ALL";"Tokyo (JPN) 2021 Olympic Games";"2021";"5:32.03";"33203";"NED";"UITTENBOGAARD L. / WIERSMA A. / WIETEN T. / METSEMAKERS K.";"JM 4x";95;"open";;0;0
203585;"U19 World Champ' Best: CZE BALDRIAN V. / SISMA T / HLADIK R. / REHOREK M. Racice (CZE) 2018 World Championships 5:46.49";"U19WorldBest";"JWM_Trakai_25_ALL";"Racice (CZE) 2018 World Championships";"2018";"5:32.03";"33203";"CZE";"BALDRIAN V. / SISMA T / HLADIK R. / REHOREK M.";"JM 4x";95;"U19";"5:46.49";34649;203584
203586;"World Champion: GER SCHMIED M / EBEL J. / KRONES F / KRAUSE O. St. Catharines (CAN) 2024 World Championships 6:11.55";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"GER";"SCHMIED M / EBEL J. / KRONES F / KRAUSE O.";"JM 4x";95;;;0;0
203622;"World Best: NED UITTENBOGAARD L. / WIERSMA A. / WIETEN T. / METSEMAKERS K. Tokyo (JPN) 2021 Olympic Games 5:32.03";"WorldBest";"JWM_Trakai_25_ALL";"Tokyo (JPN) 2021 Olympic Games";"2021";"5:32.03";"33203";"NED";"UITTENBOGAARD L. / WIERSMA A. / WIETEN T. / METSEMAKERS K.";"JM 4x";95;"open";;0;0
203623;"U19 World Champ' Best: CZE BALDRIAN V. / SISMA T / HLADIK R. / REHOREK M. Racice (CZE) 2018 World Championships 5:46.49";"U19WorldBest";"JWM_Trakai_25_ALL";"Racice (CZE) 2018 World Championships";"2018";"5:32.03";"33203";"CZE";"BALDRIAN V. / SISMA T / HLADIK R. / REHOREK M.";"JM 4x";95;"U19";"5:46.49";34649;203622
203624;"World Champion: GER SCHMIED M / EBEL J. / KRONES F / KRAUSE O. St. Catharines (CAN) 2024 World Championships 6:11.55";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"GER";"SCHMIED M / EBEL J. / KRONES F / KRAUSE O.";"JM 4x";95;;;0;0
203660;"World Best: NED UITTENBOGAARD L. / WIERSMA A. / WIETEN T. / METSEMAKERS K. Tokyo (JPN) 2021 Olympic Games 5:32.03";"WorldBest";"JWM_Trakai_25_ALL";"Tokyo (JPN) 2021 Olympic Games";"2021";"5:32.03";"33203";"NED";"UITTENBOGAARD L. / WIERSMA A. / WIETEN T. / METSEMAKERS K.";"JM 4x";95;"open";;0;0
203661;"U19 World Champ' Best: CZE BALDRIAN V. / SISMA T / HLADIK R. / REHOREK M. Racice (CZE) 2018 World Championships 5:46.49";"U19WorldBest";"JWM_Trakai_25_ALL";"Racice (CZE) 2018 World Championships";"2018";"5:32.03";"33203";"CZE";"BALDRIAN V. / SISMA T / HLADIK R. / REHOREK M.";"JM 4x";95;"U19";"5:46.49";34649;203660
203662;"World Champion: GER SCHMIED M / EBEL J. / KRONES F / KRAUSE O. St. Catharines (CAN) 2024 World Championships 6:11.55";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"GER";"SCHMIED M / EBEL J. / KRONES F / KRAUSE O.";"JM 4x";95;;;0;0
203698;"World Best: NED UITTENBOGAARD L. / WIERSMA A. / WIETEN T. / METSEMAKERS K. Tokyo (JPN) 2021 Olympic Games 5:32.03";"WorldBest";"JWM_Trakai_25_ALL";"Tokyo (JPN) 2021 Olympic Games";"2021";"5:32.03";"33203";"NED";"UITTENBOGAARD L. / WIERSMA A. / WIETEN T. / METSEMAKERS K.";"JM 4x";95;"open";;0;0
203699;"U19 World Champ' Best: CZE BALDRIAN V. / SISMA T / HLADIK R. / REHOREK M. Racice (CZE) 2018 World Championships 5:46.49";"U19WorldBest";"JWM_Trakai_25_ALL";"Racice (CZE) 2018 World Championships";"2018";"5:32.03";"33203";"CZE";"BALDRIAN V. / SISMA T / HLADIK R. / REHOREK M.";"JM 4x";95;"U19";"5:46.49";34649;203698
203700;"World Champion: GER SCHMIED M / EBEL J. / KRONES F / KRAUSE O. St. Catharines (CAN) 2024 World Championships 6:11.55";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"GER";"SCHMIED M / EBEL J. / KRONES F / KRAUSE O.";"JM 4x";95;;;0;0
203724;"World Best: GER Germany Poznan (POL) 2017 World Cup 5:18.68";"WorldBest";"JWM_Trakai_25_ALL";"Poznan (POL) 2017 World Cup";"2017";"5:18.68";"31868";"GER";"Germany";"JM 8+";102;"open";;0;0
203725;"U19 World Champ' Best: GER Germany Varese (ITA) 2022 World Championships 5:33.43";"U19WorldBest";"JWM_Trakai_25_ALL";"Varese (ITA) 2022 World Championships";"2022";"5:18.68";"31868";"GER";"Germany";"JM 8+";102;"U19";"5:33.43";33343;203724
203726;"World Champion: GBR Great Britain St. Catharines (CAN) 2024 World Championships 5:55.85";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"GBR";"Great Britain";"JM 8+";102;;;0;0
203801;"World Best: GER Germany Poznan (POL) 2017 World Cup 5:18.68";"WorldBest";"JWM_Trakai_25_ALL";"Poznan (POL) 2017 World Cup";"2017";"5:18.68";"31868";"GER";"Germany";"JM 8+";102;"open";;0;0
203802;"U19 World Champ' Best: GER Germany Varese (ITA) 2022 World Championships 5:33.43";"U19WorldBest";"JWM_Trakai_25_ALL";"Varese (ITA) 2022 World Championships";"2022";"5:18.68";"31868";"GER";"Germany";"JM 8+";102;"U19";"5:33.43";33343;203801
