"IDZeilenTyp";"QuellWort";"Nutz_TypVersion";"TypNutzkurz";"BemerkungfürNutzung";"Rückwärts";"Vergleich_Ganz_Teil";"Inhalt_in_Feld_schreiben";"Länge_QuellWort";"SuchBeginnTeilstring";"AnlegeDatum";"PDFForm"
2547;"Race Start Event Lanes";"x";"Progression";"keine Nutzung";;"g";"no";22;0;30.11.2025 00:00:00;"FISA"
2548;"Finale, Altersklasse D";"Abt";"Abt";"weitere Bearbeitung";;"g";"AbtLK";22;0;30.11.2025 00:00:00;"Stoeb"
2549;"Entry List by Country";"x";"x";"keine weitere Bearbeitung";;"g";"no";21;0;30.11.2025 00:00:00;"FISA"
2550;"S Semifinal F Final";"Legend";"SeitenEnde";"keine Nutzung";;"g";"no";19;0;30.11.2025 00:00:00;"FISA"
2551;"Start List Summary";"x";"x";"keine weitere Bearbeitung";;"g";"no";18;0;30.11.2025 00:00:00;"FISA"
2552;"Code Date of Birth";"x";"Überschrift";"keine Nutzung";;"g";"no";18;0;30.11.2025 00:00:00;"FISA"
2553;"DNS Did Not Start";"Legend";"SeitenEnde";"keine Nutzung";;"g";"no";17;0;30.11.2025 00:00:00;"FISA"
2554;"Race Progression";"x";"Progression";"keine Nutzung";;"g";"no";16;0;30.11.2025 00:00:00;"FISA"
2555;"1-3->FA 4-6->FB";"Progression";"Progression";"keine Nutzung";;"g";"no";15;0;30.11.2025 00:00:00;"FISA"
2556;"b bow s stroke";"Legend";"SeitenEnde";"keine Nutzung";;"g";"no";14;0;30.11.2025 00:00:00;"FISA"
2557;"Lane Ctry Name";"x";"Überschrift";"keine Nutzung";;"g";"no";14;0;30.11.2025 00:00:00;"FISA"
2558;"Halbfinale A";"Abt";"Abt";"keine weitere Bearbeitung";;"g";"AbtLK";12;0;30.11.2025 00:00:00;"Stoeb"
2559;"1QT-6QT->FC,";"Progression";"Progression";"keine Nutzung";;"g";"no";12;0;30.11.2025 00:00:00;"FISA"
2560;"Halbfinale 1";"Abt";"Abt";"keine weitere Bearbeitung";;"g";"AbtLK";12;0;30.11.2025 00:00:00;"Stoeb"
2561;"Halbfinale 2";"Abt";"Abt";"keine weitere Bearbeitung";;"g";"AbtLK";12;0;30.11.2025 00:00:00;"Stoeb"
2562;"Halbfinale B";"Abt";"Abt";"keine weitere Bearbeitung";;"g";"AbtLK";12;0;30.11.2025 00:00:00;"Stoeb"
2563;"1QT-6QT->FC";"Progression";"Progression";"keine Nutzung";;"g";"no";11;0;30.11.2025 00:00:00;"FISA"
2564;"Hauptrennen";"Abt";"Abt";"keine weitere Bearbeitung";;"g";"AbtLK";11;0;30.11.2025 00:00:00;"Stoeb"
2565;"Abmeldungen";"DNBootAb";"Abmeldung";"weitere Bearbeitung";;"g";"Bemerkung";11;0;30.11.2025 00:00:00;"Stoeb"
2566;"Vorlauf (2)	Finale";"Abt";"Abt";"weitere Bearbeitung";;"g";"AbtLK";11;0;30.11.2025 00:00:00;"Stoeb"
2567;"erschienen";"DN";"Dn";"keine weitere Bearbeitung";;"g";"no";10;0;30.11.2025 00:00:00;"GrosAuh"
2568;"No. Number";"x";"SeitenEnde";"keine Nutzung";;"g";"no";10;0;30.11.2025 00:00:00;"FISA"
2569;"Vorlauf 1";"Abt";"Abt";"keine weitere Bearbeitung";;"g";"AbtLK";9;0;30.11.2025 00:00:00;"Stoeb"
2570;"Vorlauf 6";"Abt";"Abt";"keine weitere Bearbeitung";;"g";"AbtLK";9;0;30.11.2025 00:00:00;"Stoeb"
2571;"Vorlauf 4";"Abt";"Abt";"keine weitere Bearbeitung";;"g";"AbtLK";9;0;30.11.2025 00:00:00;"Stoeb"
2572;"Vorlauf 2";"Abt";"Abt";"keine weitere Bearbeitung";;"g";"AbtLK";9;0;30.11.2025 00:00:00;"Stoeb"
2573;"Vorlauf 3";"Abt";"Abt";"keine weitere Bearbeitung";;"g";"AbtLK";9;0;30.11.2025 00:00:00;"Stoeb"
2574;"Vorlauf 5";"Abt";"Abt";"keine weitere Bearbeitung";;"g";"AbtLK";9;0;30.11.2025 00:00:00;"Stoeb"
2575;"Code Rank";"x";"RennÜberschrift";"keine Nutzung";;"g";"no";9;0;30.11.2025 00:00:00;"FISA"
2576;"Legend:";"Legend";"SeitenEnde";"keine Nutzung";;"g";"no";7;0;30.11.2025 00:00:00;"FISA"
2577;"Number";"x";"x";"keine weitere Bearbeitung";;"g";"no";6;0;30.11.2025 00:00:00;"FISA"
2578;"Finale";"Abt";"Abt";"keine weitere Bearbeitung";;"g";"AbtLK";6;0;30.11.2025 00:00:00;"Stoeb"
2579;"Code";"x";"RennÜberschrift";"keine weitere Bearbeitung";;"g";"no";4;0;30.11.2025 00:00:00;"FISA"
2581;"INTERNET Service: www.worldrowing.com";"Seitenende";"Seitenende";"keine Nutzung";;"t";"no";37;1;30.11.2025 00:00:00;"FISA"
2582;"b bow (2)-(7) seat s stroke c cox";"Legend";"SeitenEnde";"keine Nutzung";;"t";"no";33;1;30.11.2025 00:00:00;"FISA"
2583;"b bow (2)-(3) seat s stroke";"Legend";"SeitenEnde";"keine Nutzung";;"t";"no";27;1;30.11.2025 00:00:00;"FISA"
2584;"Name 500m 1000m 1500m 2000m";"x";"Seitenumbruch_Überschrift";"keine Nutzung";;"t";"no";27;1;30.11.2025 00:00:00;"FISA"
2585;"U23 World Champ' Best";"U23WorldBest";"U23WorldBest";"weitere Bearbeitung";;"t";"no";23;1;30.11.2025 00:00:00;"FISA"
2586;"U19 World Champ' Best";"U19WorldBest";"U19WorldBest";"weitere Bearbeitung";;"t";"no";21;1;30.11.2025 00:00:00;"FISA"
2587;"Rank Lane Ctry Total";"x";"Seitenumbruch_Überschrift";"keine Nutzung";;"t";"no";20;1;30.11.2025 00:00:00;"FISA"
2588;"No. Time Code Numbe";"x";"x";"keine weitere Bearbeitung";;"t";"no";19;1;30.11.2025 00:00:00;"FISA"
2589;"World Champ' Best";"WorldChampBest";"WorldChampBest";"weitere Bearbeitung";;"t";"no";17;1;30.11.2025 00:00:00;"FISA"
2590;"World Rowing Data";"x";"x";"keine weitere Bearbeitung";;"t";"no";17;1;30.11.2025 00:00:00;"FISA"
2591;"Media Start List";"MediaStartResult";"MediaStartResult";"weitere Bearbeitung";;"t";"no";16;0;30.11.2025 00:00:00;"FISA"
2592;"World Champion";"WorldChampion";"WorldChampion";"weitere Bearbeitung";;"t";"no";14;1;30.11.2025 00:00:00;"FISA"
2593;"Schiedsrichter";"Schiri";"Schiedsrichter";"weitere Bearbeitung";;"t";"Schiri";14;0;30.11.2025 00:00:00;"Stoeb"
2594;"Report Created";"x";"x";"keine weitere Bearbeitung";;"t";"no";14;1;30.11.2025 00:00:00;"FISA"
2595;"ausgeschlossen";"DNBoot";"Excluded";"weitere Bearbeitung";;"t";"Bemerkung";14;0;30.11.2025 00:00:00;"Stoeb"
2596;"nicht am Start";"DNBoot";"Did not Start";"weitere Bearbeitung";;"t";"Bemerkung";14;0;30.11.2025 00:00:00;"Stoeb"
2597;"Alternates";"Alternates";"Alternates";"weitere Bearbeitung";;"t";"no";10;1;30.11.2025 00:00:00;"FISA"
2598;"Start Time";"MediaStartTime";"MediaStartTime";"weitere Bearbeitung";;"t";"StartZeit";10;1;30.11.2025 00:00:00;"FISA"
2599;"World Best";"WorldBest";"WorldBest";"weitere Bearbeitung";;"t";"no";10;1;30.11.2025 00:00:00;"FISA"
2600;"abgemeldet";"DNBoot";"DNBoot";"weitere Bearbeitung";;"t";"no";10;0;30.11.2025 00:00:00;"GrosAuh"
2601;"aufgegeben";"DNBoot";"Did not finish";"weitere Bearbeitung";;"t";"Bemerkung";10;0;30.11.2025 00:00:00;"Stoeb"
2602;"Halbfinale";"Abt";"Abt";"weitere Bearbeitung";;"t";"AbtLK";10;0;30.11.2025 00:00:00;"Stoeb"
2603;"Abteilung";"Abt";"Abt";"keine weitere Bearbeitung";;"t";"no";9;0;30.11.2025 00:00:00;"GrosAuh"
2604;"gekentert";"DNBoot";"Did not finish";"weitere Bearbeitung";;"t";"Bemerkung";9;0;30.11.2025 00:00:00;"Stoeb"
2605;"REVISED";"REVISED";"REVISED";"keine Nutzung";;"t";"no";8;0;30.11.2025 00:00:00;"FISA"
2606;"F Female";"Legend";"SeitenEnde";"keine Nutzung";;"t";"no";8;1;30.11.2025 00:00:00;"FISA"
2607;"Results";"Result";"Result";"weitere Bearbeitung";;"t";"no";7;0;30.11.2025 00:00:00;"FISA"
2608;"Freitag";"SartTagZeit";"StartTagZeit";"StartTag mit Datum hinterleen  nächste Zeile StartZeit";;"t";"no";7;1;30.11.2025 00:00:00;"Stoeb"
2609;"Samstag";"SartTagZeit";"StartTagZeit";"StartTag mit Datum hinterleen  nächste Zeile StartZeit";;"t";"no";7;1;30.11.2025 00:00:00;"Stoeb"
2610;"F Final";"Legend";"SeitenEnde";"keine Nutzung";;"t";"no";7;1;30.11.2025 00:00:00;"FISA"
2611;"Sonntag";"SartTagZeit";"StartTagZeit";"StartTag mit Datum hinterleen  nächste Zeile StartZeit";;"t";"no";7;1;30.11.2025 00:00:00;"Stoeb"
2612;"Vorlauf";"Abt";"Abt";"weitere Bearbeitung";;"t";"AbtLK";7;1;30.11.2025 00:00:00;"Stoeb"
2613;"M Male";"Legend";"SeitenEnde";"keine Nutzung";;"t";"no";6;1;30.11.2025 00:00:00;"FISA"
2614;"Rennen";"Rennen";"Rennen";"weitere Bearbeitung";;"t";"no";6;1;30.11.2025 00:00:00;"Stoeb"
2615;"Crews:";"Crews";"Crews";"keine weitere Bearbeitung";;"t";"no";6;1;30.11.2025 00:00:00;"FISA"
2616;"Finale";"Abt";"Abt";"weitere Bearbeitung";;"t";"AbtLK";6;1;30.11.2025 00:00:00;"Stoeb"
2617;"M Male";"Legend";"SeitenEnde";"keine Nutzung";;"t";"no";6;1;30.11.2025 00:00:00;"FISA"
2618;"(Event)";"Result";"Result";"weitere Bearbeitung";;"t";"no";6;1;30.11.2025 00:00:00;"FISA"
2619;"Seite";"Seite";"Seite";"weitere Bearbeitung";;"t";"ErgPDFSeite";5;0;30.11.2025 00:00:00;"Stoeb"
2620;"Coach";"Coach";"Coach";"weitere Bearbeitung";;"t";"no";5;1;30.11.2025 00:00:00;"FISA"
2621;"As of";"x";"x";"keine Nutzung";;"t";"no";5;1;30.11.2025 00:00:00;"FISA"
2622;"Grace";"Sportler";"Sportler";"weitere Bearbeitung";;"t";"no";5;0;30.11.2025 00:00:00;"FISA"
2623;"Race";"RaceDat";"RenNRRennDatum";"weitere Bearbeitung";;"t";"StartTag";4;1;30.11.2025 00:00:00;"FISA"
2624;"1QT-";"Progression";"x";"keine weitere Bearbeitung";;"t";"no";4;1;30.11.2025 00:00:00;"FISA"
2625;"Page";"x";"Seite";"keine Nutzung";;"t";"no";4;0;30.11.2025 00:00:00;"FISA"
2626;"(6)";"Sportler";"Sportler";"weitere Bearbeitung";;"t";"no";3;1;30.11.2025 00:00:00;"FISA"
2627;"So.";"SartTagZeit";"StartTagZeit";"StartTag mit Datum hinterleen  nächste Zeile StartZeit";;"t";"no";3;1;30.11.2025 00:00:00;"Stoeb"
2628;"Fr.";"SartTagZeit";"StartTagZeit";"StartTag mit Datum hinterleen  nächste Zeile StartZeit";;"t";"no";3;1;30.11.2025 00:00:00;"Stoeb"
2629;"(7)";"Sportler";"Sportler";"weitere Bearbeitung";;"t";"no";3;1;30.11.2025 00:00:00;"FISA"
2630;"(2)";"Sportler";"Sportler";"weitere Bearbeitung";;"t";"no";3;1;30.11.2025 00:00:00;"FISA"
2631;"(3)";"Sportler";"Sportler";"weitere Bearbeitung";;"t";"no";3;1;30.11.2025 00:00:00;"FISA"
2632;"Sa.";"SartTagZeit";"StartTagZeit";"StartTag mit Datum hinterleen  nächste Zeile StartZeit";;"t";"no";3;1;30.11.2025 00:00:00;"Stoeb"
2633;"(b)";"Boot";"Boot";"(b) steht für Bow das ist die Bootsbezeichnung in der FISA";;"t";"no";3;0;30.11.2025 00:00:00;"FISA"
2634;"(5)";"Sportler";"Sportler";"weitere Bearbeitung";;"t";"no";3;1;30.11.2025 00:00:00;"FISA"
2635;"(4)";"Sportler";"Sportler";"weitere Bearbeitung";;"t";"no";3;1;30.11.2025 00:00:00;"FISA"
2636;"(s)";"Sportler";"Sportler";"weitere Bearbeitung";;"t";"no";3;1;30.11.2025 00:00:00;"FISA"
