"IDEssenz";"IDEssenzFISA";"MinvonIDIntern";"MinvonErgZei";"RenTypNeu";"RenTypNeuBootBemerkung";"Boot_Erg_Coast";"AltersKlasse";"AltersGruppe_JSKMP";"BootTyp";"AlterDetail";"Bemerkung";"LG";"aus RWID";"LK";"DrvRelationDatum";"Rel100ProzZeit";"FahrzeitZehntel";"Schnitt500mZehnt";"Schnitt500Zeit";"ConceptHwtLwt";"ConceptTypAlter";"ConceptTypAlterslash";"MW";"GeschlechtMF";"Knüpf";"RudererAnzahl"
654;;;"Mäd 2x 13 LG";"Mäd 2x 13 LG";"Mäd 2x 13 LG";"Boot";"Mäd";"K";"2x";"13";;"LG";82;;;;;;;"no";"13-14";"13";"W";"F";;2
655;;;"Mäd 2x 14";"Mäd 2x 14";"Mäd 2x 14";"Boot";"Mäd";"K";"2x";"14";;;79;;;;;;;"no";"13-14";"14";"W";"F";;2
656;;;"Mäd 2x 14 LG";"Mäd 2x 14 LG";"Mäd 2x 14 LG";"Boot";"Mäd";"K";"2x";"14";;"LG";80;;;;;;;"no";"13-14";"14";"W";"F";;2
657;;;"SM 4+";"SM 4+";"SM 4+";"Boot";"SM";"S";"4+";;;;35;;;;;;;;;;"M";"M";;5
658;;;"MW 8+ A-E";"MW 8+ A-E";"MW 8+ A-E";"Boot";"MW";"M";"8+";"A-E";;;380;;;;;;;"Hwt";"27-59";"27/59";"M";"F";;9
659;;;"MW 1x A-F";"MW 1x A-F";"MW 1x A-F";"Boot";"MW";"M";"1x";"A-F";;;311;;;;;;;"Hwt";"27-64";"27/35";"W";"F";;1
660;;;"MW 1x J";"MW 1x J";"MW 1x J";"Boot";"MW";"M";"1x";"J";;;320;;;;;;;"Hwt";"80-82";"80/82";"W";"F";;1
661;;;"MW 1x K";"MW 1x K";"MW 1x K";"Boot";"MW";"M";"1x";"K";;;321;;;;;;;"Hwt";"83-85";"83/85";"W";"F";;1
662;;;"MW 1x M";"MW 1x M";"MW 1x M";"Boot";"MW";"M";"1x";"M";;;322;;;;;;;"Hwt";"89-100";"89/100";"W";"F";;1
663;;;"MW 4x+";"MW 4x+";"MW 4x+ Gig";"Boot";"MW";"M";"4x+";;"GiG";;397;;;;;;;"Hwt";"27-76";"27/76";"W";"Mix";;5
664;;;"MW 4- A";"MW 4- A";"MW 4- A";"Boot";"MW";"M";"4-";"A";;;383;;;;;;;"Hwt";"27-76";"27/76";"M";"W";;4
665;;;"MM 1x A";"MM 1x A";"MM 1x A";"Boot";"MM";"M";"1x";"A";;;;;;;;;;;;;"M";"M";;1
666;;;"MM 1x K";"MM 1x K";"MM 1x K";"Boot";"MM";"M";"1x";"K";;;309;;;;;;;"Hwt";"83-85";"83/85";"M";"M";;1
667;;;"MM 1x C";"MM 1x C";"MM 1x C";"Boot";"MM";"M";"1x";"C";;;;;;;;;;;;;"M";"M";;1
668;;;"MM 1x M";"MM 1x M";"MM 1x M";"Boot";"MM";"M";"1x";"M";;;310;;;;;;;"Hwt";"89-100";"89/100";"M";"M";;1
669;;;"MM 4- A";"MM 4- A";"MM 4- A";"Boot";"MM";"M";"4-";"A";;;377;;;;;;;"Hwt";"27-76";"27/76";"M";"M";;4
670;;;"MM 4+ A";"MM 4+ A";"MM 4+ A";"Boot";"MM";"M";"4+";"A";;;378;;;;;;;;;;"M";"M";;5
671;;;"MW/M 4x+";"MW/M 4x+";"MW/M 4x+ Gig";"Boot";"MW/M";"M";"4x+";;"GiG";;394;;;;0;0;;;;;"M/W";"M/F";;5
672;;;"MW/M 4x- A-F Mix";"MW/M 4x- A-F";"MW/M 4x- A-F mix";"Boot";"MW/M";"M";"4x-";"A-F";"mix";;161;;;;;;;;;;"M/W";"M/F";;4
674;;;"OFF 4x- A";"OFF 4x- A";"OFF 4x- A";"Boot";"OFF";"S";"4x";"A";;;369;;1.1.2020 00:00:00;"06:06.2";36620;9155;"1:31,55";"Hwt";"19-29";"19/29";"Mix";"Mix";;4
675;;;"OFF 4x+ A Gig";"OFF 4x+ A Gig";"OFF 4x+ A Gig";"Boot";"OFF";"S";"4x+";"A";"Gig";;398;;;;;;;;;;;;;5
676;;;"PR3 W 2x";"PR3W 2x";"PR3W 2x";"Boot";"PR3";"P";"2x";"W";;;352;;17.5.2024 00:00:00;"07:39.30";45930;11482;"1:54,82";;;;"W";"F";;2
677;105;;"PR3M 2x";"PR3M 2x";"PR3M 2x";"Boot";"PR3";"P";"2x";"M";;;349;;17.5.2024 00:00:00;"06:52.08";41200;10300;"1:43,00";;;;"M";"M";;2
678;;;"Städteachter 8+";"Städteachter 8+";"Städteachter Orlèans-Münster";"Boot";"SM";"S";"8+";"M";"Orlèans-Münster";;121;;1.1.2020 00:00:00;"05:19.4";31940;7985;"1:19,85";"Hwt";;;"M/W";"M/F";;9
679;;;"PR4 M 1x";"PR4M 1x";"PR4M 1x";"Boot";"PR4M";"P";"1x";;;;336;;;;;;;;;;"M";"M";;1
680;;;"MM/W 4x C";"MM/W 4x- C";"MM/W 4x- C";"Boot";"MM/W";"M";"4x-";"C";;;;;;;;;;;;;"M/W";"M/F";;4
