"IDEssenz";"IDEssenzFISA";"MinvonIDIntern";"MinvonErgZei";"RenTypNeu";"RenTypNeuBootBemerkung";"Boot_Erg_Coast";"AltersKlasse";"AltersGruppe_JSKMP";"BootTyp";"AlterDetail";"Bemerkung";"LG";"aus RWID";"LK";"DrvRelationDatum";"Rel100ProzZeit";"FahrzeitZehntel";"Schnitt500mZehnt";"Schnitt500Zeit";"ConceptHwtLwt";"ConceptTypAlter";"ConceptTypAlterslash";"MW";"GeschlechtMF";"Knüpf";"RudererAnzahl"
83;;138;"JM 2x A/B";"JM 2x A/B";"JM 2x A/B";"Boot";"JM";"J";"2x";"A/B";;;407;;1.1.2020 00:00:00;"06:14.4";37440;9360;"1:33,60";"Hwt";"15-18";"15/18";"M";"M";;2
84;;139;"JM 2x B";"JM 2x B";"JM 2x B";"Boot";"JM";"J";"2x";"B";;;163;;1.1.2020 00:00:00;"04:45.4";28540;9513;"1:35,13";"no";"15-16";"15/16";"M";"M";;2
85;;141;"JM 2x B I/II LG";"JM 2x B LG";"JM 2x B LG";"Boot";"JM";"J";"2x";"B";;"LG";236;;;;;;;;;;"M";"M";;2
86;;560;"LJM 2x B";"JM 2x B LG";"JM 2x B LG";"Boot";"JM";"LGInternational";"2x";"B";;"LG";236;;1.1.2020 00:00:00;"04:53.3";29330;9777;"1:37,77";"no";"15-16";"15/16";"M";"M";;2
87;16;1229;"Junioren-Vierer";"JM 4-";"JM 4-";"Boot";"JM";"J";"4-";;;;;;;;;;;;;;"M";"M";;4
88;;145;"JM 
4- A";"JM 4- A";"JM 4- A";"Boot";"JM";"J";"4-";"A";;;166;;1.1.2020 00:00:00;"05:48.3";34830;8708;"1:27,08";"Hwt";"17-18";"17/18";"M";"M";;4
89;;147;"JM 4- A LG";"JM 4- A LG";"JM 4- A LG";"Boot";"JM";"J";"4-";"A";;"LG";237;;1.1.2020 00:00:00;"05:58.4";35840;8960;"1:29,60";"Lwt";"17-18";"17/18";"M";"M";;4
90;;561;"LJM 4- A";"JM 4- A LG";"JM 4- A LG";"Boot";"JM";"LGInternational";"4-";"A";;"LG";237;;;;;;;;;;"M";"M";;4
91;;395;"Junioren-Vierer A/B";"JM 4- A/B";"JM 4- A/B";"Boot";"JM";"J";"4-";"A/B";;;;;;;;;;;;;"M";"M";;4
92;;148;"JM 4- B";"JM 4- B";"JM 4- B";"Boot";"JM";"J";"4-";"B";;;167;;1.1.2020 00:00:00;"04:23.2";26320;8773;"1:27,73";"no";"15-16";"15/16";"M";"M";;4
93;;149;"JM 4+ A";"JM 4+ A";"JM 4+ A";"Boot";"JM";"J";"4+";"A";;;164;;1.1.2020 00:00:00;"06:05.0";36500;9125;"1:31,25";"Hwt";"17-18";"17/18";"M";"M";;5
94;;151;"JM 4+ B";"JM 4+ B";"JM 4+ B";"Boot";"JM";"J";"4+";"B";;;182;;1.1.2020 00:00:00;"04:37.3";27730;9243;"1:32,43";"no";"15-16";"15/16";"M";"M";;5
95;17;153;"JM 4x A";"JM 4x- A";"JM 4x- A";"Boot";"JM";"J";"4x-";"A";;;204;;1.1.2020 00:00:00;"05:45.0";34500;8625;"1:26,25";"Hwt";"17-18";"17/18";"M";"M";;4
96;;157;"JM 4x A LG";"JM 4x- A LG";"JM 4x- A LG";"Boot";"JM";"J";"4x-";"A";;"LG";239;;;;;;;;;;"M";"M";;4
97;;562;"LJM 4x A";"JM 4x- A LG";"JM 4x- A LG";"Boot";"JM";"LGInternational";"4x-";"A";;"LG";239;;1.1.2020 00:00:00;"05:52.0";35200;8800;"1:28,00";"Lwt";"17-18";"17/18";"M";"M";;4
98;;158;"JM 4x B";"JM 4x- B";"JM 4x- B";"Boot";"JM";"J";"4x-";"B";;;414;;1.1.2020 00:00:00;"05:45.0";34500;8625;"1:26,25";"Hwt";"15-16";"15/16";"M";"M";;4
99;;159;"JM 4x+ B";"JM 4x+ B";"JM 4x+ B";"Boot";"JM";"J";"4x+";"B";;;205;;1.1.2020 00:00:00;"04:23.2";26320;8773;"1:27,73";"no";"15-16";"15/16";"M";"M";;5
100;;160;"JM 4x+ B LG";"JM 4x+ B LG";"JM 4x+ B LG";"Boot";"JM";"J";"4x+";"B";;"LG";240;;;;;;;;;;"M";"M";;5
101;;563;"LJM 4x+ B";"JM 4x+ B LG";"JM 4x+ B LG";"Boot";"JM";"LGInternational";"4x+";"B";;"LG";240;;1.1.2020 00:00:00;"04:38.3";27830;9277;"1:32,77";"no";"15-16";"15/16";"M";"M";;5
102;18;162;"JM 8+ A";"JM 8+ A";"JM 8+ A";"Boot";"JM";"J";"8+";"A";;;365;;1.1.2020 00:00:00;"05:32.0";33200;8300;"1:23,00";"Hwt";"15-18";"15/18";"M";"M";;9
103;;164;"JM 8+ A LG";"JM 8+ A LG";"JM 8+ A LG";"Boot";"JM";"J";"8+";"A";;"LG";241;;1.1.2020 00:00:00;"05:45.2";34520;8630;"1:26,30";"Lwt";"17-18";"17/18";"M";"M";;9
104;;165;"JM 8+ A/B";"JM 8+ A/B";"JM 8+ A/B";"Boot";"JM";"J";"8+";"A/B";;;;;;;;;;;;;"M";"M";;9
105;;166;"JM 8+ B";"JM 8+ B";"JM 8+ B";"Boot";"JM";"J";"8+";"B";;;186;;1.1.2020 00:00:00;"04:12.2";25220;8407;"1:24,07";"no";"15-16";"15/16";"M";"M";;9
106;;167;"JM A";"JM A";"JM A";"Ergo";"JM";"J";;"A";;;;;;;;;;;;;"M";"M";;
107;;378;"Junioren 17/18 J";"JM A";"JM A";"Ergo";"JM";"J";;"A";"";;;;;;;;;;;;"M";"M";;
108;;390;"Junioren A (2. WKE)";"JM A";"JM A 2. Wke";"Ergo";"JM";"J";;"A";"2. Wke";;;;;;;;;;;;"M";"M";;
109;;175;"JM A LG";"JM A LG";"JM A LG";"Ergo";"JM";"J";;"A";;"LG";;;;;;;;;;;"M";"M";;
110;;525;"Lgw.Junioren 17/18 J";"JM A LG";"JM A LG";"Ergo";"JM";"J";;"A";"";"LG";;;;;;;;;;;"M";"M";;
111;;179;"JM A/B";"JM A/B";"JM A/B";"Ergo";"JM";"J";;"A/B";;;;;;;;;;;;;"M";"M";;
112;;376;"Junioren 15-17 Jahre";"JM A/B";"JM A/B";"Ergo";"JM";"J";;"A/B";"";;;;;;;;;;;;"M";"M";;
113;;180;"JM B";"JM B";"JM B";"Ergo";"JM";"J";;"B";;;;;;;;;;;;;"M";"M";;
114;;373;"Junioren 15/16 Jahre";"JM B";"JM B";"Ergo";"JM";"J";;"B";"";;;;;;;;;;;;"M";"M";;
115;;393;"Junioren B (2. WKE)";"JM B";"JM B 2. Wke";"Ergo";"JM";"J";;"B";"2. Wke";;;;;;;;;;;;"M";"M";;
116;;187;"JM B LG";"JM B LG";"JM B LG";"Ergo";"JM";"J";;"B";;"LG";;;;;;;;;;;"M";"M";;
117;;520;"Lgw.Junioren 15/16 J";"JM B LG";"JM B LG";"Ergo";"JM";"J";;"B";"";"LG";;;;;;;;;;;"M";"M";;
118;;448;"Junior-Mixed-Zweier 18-20 Jahre";"JM/F 2- 18-20";"JM/F 2- 18-20";"Boot";"JM/F";"J";"2-";"18-20";"";;;;;;;;;;;;"M/W";"M/F";;2
119;;447;"Junior-Mixed-Zweier 17/18 Jahre";"JM/F 2- A";"JM/F 2- A";"Boot";"JM/F";"J";"2-";"A";"";;;;;;;;;;;;"M/W";"M/F";;2
120;;446;"Junior-Mixed-Zweier 15-17 Jahre";"JM/F 2- A/B";"JM/F 2- A/B";"Boot";"JM/F";"J";"2-";"A/B";"";;;;;;;;;;;;"M/W";"M/F";;2
121;;445;"Junior-Mixed-Zweier 15/16 Jahre";"JM/F 2- B";"JM/F 2- B";"Boot";"JM/F";"J";"2-";"B";"";;;;;;;;;;;;"M/W";"M/F";;2
122;;189;"JM/F 2x A";"JM/F 2x A";"JM/F 2x A";"Boot";"JM/F";"J";"2x";"A";;;242;;1.1.2020 00:00:00;"06:14.4";37440;9360;"1:33,60";"Hwt";"17-18";"17/18";"M/W";"M/F";;2
123;;102;"JF/M 2x A/B";"JM/F 2x A/B";"JM/F 2x A/B";"Boot";"JM/F";"J";"2x";"A/B";;;423;;1.1.2020 00:00:00;"06:14.4";37440;9360;"1:33,60";"Hwt";"15-18";"17/18";"M/W";"M/F";;2
124;;191;"JM/F 2x B";"JM/F 2x B";"JM/F 2x B";"Boot";"JM/F";"J";"2x";"B";;;244;;1.1.2020 00:00:00;"04:45.4";28540;9513;"1:35,13";"no";"15-16";"15/16";"M/W";"M/F";;2
125;;987;"Schüler-Mixed-Vierer 18 Jahre und jünger";"JM/F 4-";"JM/F 4- Schüler 18 Jahre und jünger";"Boot";"JM/F";"J";"4-";;"Schüler 18 Jahre und jünger";;;;;;;;;;;;"M/W";"M/F";;4
126;;423;"JuniorInnen Mixed-Vierer A/B";"JM/F 4- A/B";"JM/F 4- A/B";"Boot";"JM/F";"J";"4-";"A/B";;;;;;;;;;;;;"M/W";"M/F";;4
127;;437;"Junior-Mixed-Doppelvierer";"JM/F 4x-";"JM/F 4x-";"Boot";"JM/F";"J";"4x-";;;;;;;;;;;;;;"M/W";"M/F";;4
128;;103;"JF/M 4x- A";"JM/F 4x- A";"JM/F 4x- A";"Boot";"JM/F";"J";"4x-";"A";;;156;;;;;;;;;;"M/W";"M/F";;4
129;;193;"JM/F 4x A Mix";"JM/F 4x- A";"JM/F 4x- A mix";"Boot";"JM/F";"J";"4x-";"A";"mix";;156;;1.1.2020 00:00:00;"06:23.0";38300;9575;"1:35,75";"Hwt";"17-18";"17/18";"M/W";"M/F";;4
130;;194;"JM/F 4x A/B";"JM/F 4x- A/B";"JM/F 4x- A/B";"Boot";"JM/F";"J";"4x-";"A/B";;;298;;1.1.2020 00:00:00;"05:45.0";34500;8625;"1:26,25";"Hwt";"15-18";"15/18";"M/W";"M/F";;4
131;;440;"Junior-Mixed-Doppelvierer B";"JM/F 4x- B";"JM/F 4x- B";"Boot";"JM/F";"J";"4x-";"B";;;;;;;;;;;;;"M/W";"M/F";;4
132;;442;"Junior-Mixed-Fünfer A";"JM/F 4x+ A";"JM/F 4x+ A";"Boot";"JM/F";"J";"4x+";"A";;;;;;;;;;;;;"M/W";"M/F";;5
133;;195;"JM/F 4x+ A/B";"JM/F 4x+ A/B";"JM/F 4x+ A/B";"Boot";"JM/F";"J";"4x+";"A/B";;;;;;;;;;;;;"M/W";"M/F";;5
134;;1142;"SON 4 15-18";"JM/F 4x+ A/B";"JM/F 4x+ A/B SON";"Boot";"JM/F";"J";"4x+";"A/B";"SON";;;;;;;;;;;;;;;5
135;;104;"JF/M 4x+ B";"JM/F 4x+ B";"JM/F 4x+ B";"Boot";"JM/F";"J";"4x+";"B";;;155;;1.1.2020 00:00:00;"04:23.2";26320;8773;"1:27,73";"no";"15-16";"15/16";"M/W";"M/F";;5
136;;197;"JM/F 8+ A/B";"JM/F 8+ A/B";"JM/F 8+ A/B";"Boot";"JM/F";"J";"8+";"A/B";;;187;;1.1.2020 00:00:00;"04:12.2";25220;8407;"1:24,07";"Hwt";"15-18";"15/18";"M/W";"M/F";;9
137;;198;"JM/F 8+ B";"JM/F 8+ B";"JM/F 8+ B";"Boot";"JM/F";"J";"8+";"B";;;388;;1.1.2020 00:00:00;"04:12.2";25220;8407;"1:24,07";"Hwt";"15-16";"15/16";"M/W";"M/F";;9
138;;1217;"JM/F A";"JM/F A";"JM/F A";"Ergo";"JM/F";"J";;"A";;;;;;;;;;;;;"M/W";"M/F";;
139;;105;"JF/M A/B";"JM/F A/B";"JM/F A/B";"Ergo";"JM/F";"J";;"A/B";;;;;;;;;;;;;"M/W";"M/F";;
140;;352;"Jungen Anfänger";"Jung";"Jung Anfänger";"Ergo";"Jung";"K";;;"Anfänger";;;;;;;;;;;;"M";"M";;
141;;327;"Jungen 10";"Jung 10";"Jung 10";"Ergo";"Jung";"K";;"10";;;;;;;;;;;;;"M";"M";;
142;;201;"Jung 10-12";"Jung 10-12";"Jung 10-12";"Ergo";"Jung";"K";;"10-12";;;;;;;;;;;;;"M";"M";;
143;;202;"Jung 11";"Jung 11";"Jung 11";"Ergo";"Jung";"K";;"11";;;;;;;;;;;;;"M";"M";;
144;;203;"Jung 11 Lg";"Jung 11 LG";"Jung 11 LG";"Ergo";"Jung";"K";;"11";;"LG";;;;;;;;;;;"M";"M";;
145;;204;"Jung 11 u. 12";"Jung 11/12";"Jung 11/12";"Ergo";"Jung";"K";;"11/12";;;;;;;;;;;;;"M";"M";;
146;;331;"Jungen 11-14 Jahre";"Jung 11-14";"Jung 11-14";"Ergo";"Jung";"K";;"11-14";;;;;;;;;;;;;"M";"M";;
147;;207;"Jung 12";"Jung 12";"Jung 12";"Ergo";"Jung";"K";;"12";;;;;;;;;;;;;"M";"M";;
148;;208;"Jung 12 LG";"Jung 12 LG";"Jung 12 LG";"Ergo";"Jung";"K";;"12";;"LG";;;;;;;;;;;"M";"M";;
149;;338;"Jungen 12-14 Jahre";"Jung 12-14";"Jung 12-14";"Ergo";"Jung";"K";;"12-14";;;;;;;;;;;;;"M";"M";;
150;;209;"Jung 13";"Jung 13";"Jung 13";"Ergo";"Jung";"K";;"13";;;;;;;;;;;;;"M";"M";;
151;;212;"Jung 13 LG";"Jung 13 LG";"Jung 13 LG";"Ergo";"Jung";"K";;"13";;"LG";;;;;;;;;;;"M";"M";;
152;;214;"Jung 13/14";"Jung 13/14";"Jung 13/14";"Ergo";"Jung";"K";;"13/14";;;;;;;;;;;;;"M";"M";;
153;;346;"Jungen 13/14 Jahre";"Jung 13/14";"Jung 13/14";"Ergo";"Jung";"K";;"13/14";"";;;;;;;;;;;;"M";"M";;
154;;215;"Jung 14";"Jung 14";"Jung 14";"Ergo";"Jung";"K";;"14";;;;;;;;;;;;;"M";"M";;
155;;217;"Jung 14 Jahre und jünger";"Jung 14";"Jung 14 u.j.";"Ergo";"Jung";"K";;"14";"u.j.";;;;;;;;;;;;"M";"M";;
156;;218;"Jung 14 LG";"Jung 14 LG";"Jung 14 LG";"Ergo";"Jung";"K";;"14";;"LG";;;;;;;;;;;"M";"M";;
157;;219;"Jung 1x 10";"Jung 1x 10";"Jung 1x 10";"Boot";"Jung";"K";"1x";"10";;;390;;;;;;;"no";"10";"10";"M";"M";;1
158;;220;"Jung 1x 10/11";"Jung 1x 10/11";"Jung 1x 10/11";"Boot";"Jung";"K";"1x";"10/11";;;371;;;;;;;"no";"10-11";"10/11";"M";"M";;1
159;;222;"Jung 1x 11";"Jung 1x 11";"Jung 1x 11";"Boot";"Jung";"K";"1x";"11";;;358;;;;;;;"no";"11";"11";"M";"M";;1
160;;224;"Jung 1x 11 u. 12 Jahre";"Jung 1x 11/12";"Jung 1x 11/12";"Boot";"Jung";"K";"1x";"11/12";;;127;;;;;;;"no";"12 and Under";"11/12";"M";"M";;1
161;;226;"Jung 1x 12";"Jung 1x 12";"Jung 1x 12";"Boot";"Jung";"K";"1x";"12";;;323;;;;;;;"no";"12 and Under";"12";"M";"M";;1
162;;232;"Jung 1x 12 u.j.";"Jung 1x 12";"Jung 1x 12 u.j.";"Boot";"Jung";"K";"1x";"12";"u.j.";;323;;;;;;;;;;"M";"M";;1
163;;230;"Jung 1x 12 Jahre LG";"Jung 1x 12 LG";"Jung 1x 12 LG";"Boot";"Jung";"K";"1x";"12";;"LG";245;;;;;;;"no";"12 and Under";"12";"M";"M";;1
164;;233;"Jung 1x 12+13";"Jung 1x 12/13";"Jung 1x 12/13";"Boot";"Jung";"K";"1x";"12/13";;;400;;;;;;;;;;"M";"M";;1
165;;361;"Jungen-Einer 12/13 Jahre";"Jung 1x 12/13";"Jung 1x 12/13";"Boot";"Jung";"K";"1x";"12/13";"";;400;;;;;;;"no";"13-14";"12/13";"M";"M";;1
166;;234;"Jung 1x 12+13 LG";"Jung 1x 12/13 LG";"Jung 1x 12/13 LG";"Boot";"Jung";"K";"1x";"12/13";;"LG";251;;;;;;;"no";"13-14";"12/13";"M";"M";;1
167;;235;"Jung 1x 13";"Jung 1x 13";"Jung 1x 13";"Boot";"Jung";"K";"1x";"13";;;324;;;;;;;"no";"13-14";"13";"M";"M";;1
168;;239;"Jung 1x 13 Jahre I/II LG";"Jung 1x 13 LG";"Jung 1x 13 LG";"Boot";"Jung";"K";"1x";"13";;"LG";403;;;;;;;"no";"13-14";"13";"M";"M";;1
169;;245;"Jung 1x 14";"Jung 1x 14";"Jung 1x 14";"Boot";"Jung";"K";"1x";"14";;;419;;;;;;;"no";"13-14";"14";"M";"M";;1
170;;250;"Jung 1x 14 Jahre I/II LG";"Jung 1x 14 LG";"Jung 1x 14 LG";"Boot";"Jung";"K";"1x";"14";;"LG";420;;;;;;;"no";"13-14";"14";"M";"M";;1
171;;256;"Jung 1x 9";"Jung 1x 9";"Jung 1x 9";"Boot";"Jung";"K";"1x";"9";;;391;;;;;;;"no";"9";"9";"M";"M";;1
172;;272;"Jung 2x 13 u. 14 Jahre";"Jung 2x";"Jung 2x";"Boot";"Jung";"K";"2x";;"";;;;;;;;;;;;"M";"M";;2
173;;257;"Jung 2x 10/11";"Jung 2x 10/11";"Jung 2x 10/11";"Boot";"Jung";"K";"2x";"10/11";;;373;;;;;;;"no";"10-11";"10/11";"M";"M";;2
174;;258;"Jung 2x 11 u. 12 Jahre";"Jung 2x 11/12";"Jung 2x 11/12";"Boot";"Jung";"K";"2x";"11/12";;;129;;;;;;;"no";"12 and Under";"11/12";"M";"M";;2
175;;267;"Jung 2x 12 u. jün";"Jung 2x 12";"Jung 2x 12 u.j.";"Boot";"Jung";"K";"2x";"12";"u.j.";;70;;;;;;;"no";"12 and Under";"12";"M";"M";;2
176;;263;"Jung 2x 12 u. 13 Jahre";"Jung 2x 12/13";"Jung 2x 12/13";"Boot";"Jung";"K";"2x";"12/13";;;102;;;;;;;"no";"13-14";"12/13";"M";"M";;2
177;;265;"Jung 2x 12 u. 13 Jahre I-III LG";"Jung 2x 12/13 LG";"Jung 2x 12/13 LG";"Boot";"Jung";"K";"2x";"12/13";;"LG";99;;;;;;;"no";"13-14";"12/13";"M";"M";;2
178;;276;"Jung 2x 13/14";"Jung 2x 13/14";"Jung 2x 13/14";"Boot";"Jung";"K";"2x";"13/14";;;104;;;;;;;"no";"13-14";"13/14";"M";"M";;2
179;;277;"Jung 2x 13/14 LG";"Jung 2x 13/14 LG";"Jung 2x 13/14 LG";"Boot";"Jung";"K";"2x";"13/14";;"LG";106;;;;;;;"no";"13-14";"13/14";"M";"M";;2
180;;274;"Jung 2x 13 u. 14 Jahre I-III LG";"Jung 2x LG";"Jung 2x LG";"Boot";"Jung";"K";"2x";;"";"LG";;;;;;;;;;;"M";"M";;2
181;;286;"Jung 4x+ 13 u. 14 Jahre";"Jung 4x+";"Jung 4x+";"Boot";"Jung";"K";"4x+";;"";;;;;;;;;;;;"M";"M";;5
182;;280;"Jung 4x+ 10+11";"Jung 4x+ 10/11";"Jung 4x+ 10/11";"Boot";"Jung";"K";"4x+";"10/11";;;;;;;;;;;;;"M";"M";;5
183;;484;"Kinder Jungen-Vierer 11/12";"Jung 4x+ 11/12";"Jung 4x+ 11/12";"Boot";"Jung";"K";"4x+";"11/12";;;;;;;;;;;;;"M";"M";;5
184;;281;"Jung 4x+ 12";"Jung 4x+ 12";"Jung 4x+ 12";"Boot";"Jung";"K";"4x+";"12";;;73;;;;;;;;;;"M";"M";;5
185;;364;"Jungen-Vierer 12 Jahre u.j.";"Jung 4x+ 12";"Jung 4x+ 12 u.j.";"Boot";"Jung";"K";"4x+";"12";"u.j.";;73;;;;;;;"no";"12 and Under";"12";"M";"M";;5
186;;282;"Jung 4x+ 12 u. 13 Jahre";"Jung 4x+ 12/13";"Jung 4x+ 12/13";"Boot";"Jung";"K";"4x+";"12/13";;;110;;;;;;;"no";"13-14";"12/13";"M";"M";;5
187;;288;"Jung 4- 91/92";"Jung 4x+ 13/14";"Jung 4x+ 13/14";"Boot";"Jung";"K";"4x+";"13/14";;;109;;;;;;;;;;"M";"M";;5
188;;353;"Jungen Vierer 13/14 Jahre";"Jung 4x+ 13/14";"Jung 4x+ 13/14";"Boot";"Jung";"K";"4x+";"13/14";"";;109;;;;;;;"no";"13-14";"13/14";"M";"M";;5
189;;1151;"Unser Nachwuchs";"Jung/Mäd";"Jung/Mäd";"Ergo";"Jung/Mäd";"K";;;;;;;;;;;;;;;"M/W";"M/F";;
190;;292;"Jung/Mäd 12/13";"Jung/Mäd 12/13";"Jung/Mäd 12/13";"Ergo";"Jung/Mäd";"K";;"12/13";;;;;;;;;;;;;"M/W";"M/F";;
191;;293;"Jung/Mäd 13/14";"Jung/Mäd 13/14";"Jung/Mäd 13/14";"Ergo";"Jung/Mäd";"K";;"13/14";;;;;;;;;;;;;"M/W";"M/F";;
192;;482;"Kind 1x 11 Jahre";"Jung/Mäd 1x 11";"Jung/Mäd 1x 11";"Boot";"Jung/Mäd";"K";"1x";"11";;;;;;;;;;;;;"M/W";"M/F";;1
193;;298;"Jung/Mäd 2x 13 u. 14 Jahre Mix";"Jung/Mäd 2x";"Jung/Mäd 2x mix";"Boot";"Jung/Mäd";"K";"2x";;"mix";;;;;;;;;;;;"M/W";"M/F";;2
194;;294;"Jung/Mäd 2x 10+11";"Jung/Mäd 2x 10/11";"Jung/Mäd 2x 10/11";"Boot";"Jung/Mäd";"K";"2x";"10/11";;;385;;;;;;;"no";"11 and Under";"10/11";"M/W";"M/F";;2
195;;295;"Jung/Mäd 2x 11+12";"Jung/Mäd 2x 11/12";"Jung/Mäd 2x 11/12";"Boot";"Jung/Mäd";"K";"2x";"11/12";;;;;;;;;;;;;"M/W";"M/F";;2
196;;324;"Jung/Mäd-Zweier 11-14 Jahre";"Jung/Mäd 2x 11-14";"Jung/Mäd 2x 11-14";"Boot";"Jung/Mäd";"K";"2x";"11-14";;;;;;;;;;;;;"M/W";"M/F";;2
197;;296;"Jung/Mäd 2x 12/13";"Jung/Mäd 2x 12/13";"Jung/Mäd 2x 12/13";"Boot";"Jung/Mäd";"K";"2x";"12/13";;;389;;;;;;;"no";"13 and Under";"12/13";"M/W";"M/F";;2
198;;325;"Jung/Mäd-Zweier 12-14 Jahre";"Jung/Mäd 2x 12-14";"Jung/Mäd 2x 12-14";"Boot";"Jung/Mäd";"K";"2x";"12-14";;;243;;;;;;;"no";"12 and Under";"12/14";"M/W";"M/F";;2
199;;299;"Jung/Mäd 2x 13/14";"Jung/Mäd 2x 13/14";"Jung/Mäd 2x 13/14";"Boot";"Jung/Mäd";"K";"2x";"13/14";;;418;;;;;;;"no";"14 and Under";"13/14";"M/W";"M/F";;2
200;;321;"Jung/Mäd-Doppelzweier 13/14 Jahre";"Jung/Mäd 2x 13/14";"Jung/Mäd 2x 13/14";"Boot";"Jung/Mäd";"K";"2x";"13/14";"";;418;;;;;;;;;;"M/W";"M/F";;2
201;;301;"Jung/Mäd 4+ 13 u. 14";"Jung/Mäd 4+ 13/14";"Jung/Mäd 4+ 13/14";"Boot";"Jung/Mäd";"K";"4+";"13/14";;;;;;;;;;;;;"M/W";"M/F";;5
202;;302;"Jung/Mäd 4x 11 u. 12";"Jung/Mäd 4x+ 11/12";"Jung/Mäd 4x+ 11/12";"Boot";"Jung/Mäd";"K";"4x+";"11/12";;;406;;;;;;;"no";"11/12";"11/12";"M/W";"M/F";;5
203;;304;"Jung/Mäd 4x 12+13";"Jung/Mäd 4x+ 12/13";"Jung/Mäd 4x+ 12/13";"Boot";"Jung/Mäd";"K";"4x+";"12/13";;;108;;;;;;;;;;"M/W";"M/F";;5
204;;305;"Jung/Mäd 4x 13 u. 14";"Jung/Mäd 4x+ 13/14";"Jung/Mäd 4x+ 13/14";"Boot";"Jung/Mäd";"K";"4x+";"13/14";;;107;;;;;;;;;;"M/W";"M/F";;5
205;;318;"Jung/Mäd-Doppelvierer 13/14 Jahre";"Jung/Mäd 4x+ 13/14";"Jung/Mäd 4x+ 13/14";"Boot";"Jung/Mäd";"K";"4x+";"13/14";"";;107;;;;;;;;;;"M/W";"M/F";;5
206;;319;"Jung/Mäd-Doppelvierer 14 Jahre";"Jung/Mäd 4x+ 14";"Jung/Mäd 4x+ 14";"Boot";"Jung/Mäd";"K";"4x+";"14";;;;;;;;;;;;;"M/W";"M/F";;5
207;;320;"Jung/Mäd-Doppelvierer 14 Jahre u.J.";"Jung/Mäd 4x+ 14";"Jung/Mäd 4x+ 14 u.j.";"Boot";"Jung/Mäd";"K";"4x+";"14";"u.j.";;;;;;;;;;;;"M/W";"M/F";;5
208;;308;"Jung/Mäd 4x+";"Jung/Mäd 4x+";"Jung/Mäd 4x+";"Boot";"Jung/Mäd";"K";"4x+";;;;;;;;;;;;;;"M/W";"M/F";;5
209;;291;"Jung u. Mäd-Doppelvierer m.St. 13 u. 14 Jahre";"Jung/Mäd 4x+";"Jung/Mäd 4x+";"Boot";"Jung/Mäd";"K";"4x+";;"";;;;;;;;;;;;"M/W";"M/F";;5
210;;313;"Jung/Mäd 4x+ 13 u. 14 Jahre I-III Mix";"Jung/Mäd 4x+";"Jung/Mäd 4x+ mix";"Boot";"Jung/Mäd";"K";"4x+";;"mix";;;;;;;;;;;;"M/W";"M/F";;5
211;;309;"Jung/Mäd 4x+ 10/11";"Jung/Mäd 4x+ 10/11";"Jung/Mäd 4x+ 10/11";"Boot";"Jung/Mäd";"K";"4x+";"10/11";;;386;;;;;;;"no";"10/11";"10/11";"M/W";"M/F";;5
212;;323;"Jung/Mäd-Vierer 11-14 Jahre";"Jung/Mäd 4x+ 11-14";"Jung/Mäd 4x+ 11-14";"Boot";"Jung/Mäd";"K";"4x+";"11-14";;;;;;;;;;;;;"M/W";"M/F";;5
213;;755;"Mixed-Vierer 12 Jahre u.j.";"Jung/Mäd 4x+ 12 u.j.";"Jung/Mäd 4x+ 12 u.j.";"Boot";"Jung/Mäd";"K";"4x+";"12 u.j.";;;;;;;;;;;;;"M/W";"M/F";;5
214;;290;"Jung u. Mäd-Doppelvierer m.St. 12 u. 13 Jahre";"Jung/Mäd 4x+ 12/13";"Jung/Mäd 4x+ 12/13";"Boot";"Jung/Mäd";"K";"4x+";"12/13";;;108;;;;;;;"no";"13-14";"13/14";"M/W";"M/F";;5
215;;322;"Jung/Mäd-Fünfer. 12/13/14 Jahre";"Jung/Mäd 4x+ 12-14";"Jung/Mäd 4x+ 12-14";"Boot";"Jung/Mäd";"K";"4x+";"12-14";;;;;;;;;;;;;"M/W";"M/F";;5
216;;315;"Jung/Mäd 4x+ 13/14";"Jung/Mäd 4x+ 13/14";"Jung/Mäd 4x+ 13/14";"Boot";"Jung/Mäd";"K";"4x+";"13/14";;;107;;;;;;;;;;"M/W";"M/F";;5
217;;1141;"SON 4 13 u. 14";"Jung/Mäd 4x+ 13/14";"Jung/Mäd 4x+ 13/14 SON";"Boot";"Jung/Mäd";"K";"4x+";"13/14";"SON";;107;;;;;;;"no";"13-14";"13/14";"M/W";"M/F";;5
218;;673;"Mädchen Anfänger";"Mäd";"Mäd Anfänger";"Ergo";"Mäd";"K";;;"Anfänger";;;;;;;;;;;;"W";"F";;
219;;647;"Mädchen 10";"Mäd 10";"Mäd 10";"Ergo";"Mäd";"K";;"10";;;;;;;;;;;;;"W";"F";;
220;;569;"Mäd 11";"Mäd 11";"Mäd 11";"Ergo";"Mäd";"K";;"11";;;;;;;;;;;;;"W";"F";;
221;;570;"Mäd 11 LG";"Mäd 11 LG";"Mäd 11 LG";"Ergo";"Mäd";"K";;"11";;"LG";;;;;;;;;;;"W";"F";;
222;;571;"Mäd 11 u. 12";"Mäd 11/12";"Mäd 11/12";"Ergo";"Mäd";"K";;"11/12";;;;;;;;;;;;;"W";"F";;
223;;574;"Mäd 12";"Mäd 12";"Mäd 12";"Ergo";"Mäd";"K";;"12";;;;;;;;;;;;;"W";"F";;
